Group,Step,F1,Precision,Recall
1a,I,0.9997470275739945,1.0,0.9994941831057157
1a,II,0.9997470275739945,1.0,0.9994941831057157
1a,III,0.9997470275739945,1.0,0.9994941831057157
1a,IV,0.9997470275739945,1.0,0.9994941831057157
1a,V,0.9997470275739945,1.0,0.9994941831057157
1a,VI,0.9997470275739945,1.0,0.9994941831057157
1a,VII,0.9997470275739945,1.0,0.9994941831057157
1a,VIII,0.9997470275739945,1.0,0.9994941831057157
1a,IX,0.9997470275739945,1.0,0.9994941831057157
1b,I,0.9997470275739945,1.0,0.9994941831057157
1b,II,0.9997470275739945,1.0,0.9994941831057157
1b,III,0.9997470275739945,1.0,0.9994941831057157
1b,IV,0.9997470275739945,1.0,0.9994941831057157
1b,V,0.9997470275739945,1.0,0.9994941831057157
1b,VI,0.9997470275739945,1.0,0.9994941831057157
1b,VII,0.9997470275739945,1.0,0.9994941831057157
1b,VIII,0.9997470275739945,1.0,0.9994941831057157
1b,IX,0.9997470275739945,1.0,0.9994941831057157
1c,I,0.9997470275739945,1.0,0.9994941831057157
1c,II,0.9997470275739945,1.0,0.9994941831057157
1c,III,0.9997470275739945,1.0,0.9994941831057157
1c,IV,0.9997470275739945,1.0,0.9994941831057157
1c,V,0.9997470275739945,1.0,0.9994941831057157
1c,VI,0.9997470275739945,1.0,0.9994941831057157
1c,VII,0.9997470275739945,1.0,0.9994941831057157
1c,VIII,0.9997470275739945,1.0,0.9994941831057157
1c,IX,0.9997470275739945,1.0,0.9994941831057157
1d,I,0.9997470275739945,1.0,0.9994941831057157
1d,II,0.9997470275739945,1.0,0.9994941831057157
1d,III,0.9997470275739945,1.0,0.9994941831057157
1d,IV,0.9997470275739945,1.0,0.9994941831057157
1d,V,0.9997470275739945,1.0,0.9994941831057157
1d,VI,0.9997470275739945,1.0,0.9994941831057157
1d,VII,0.9997470275739945,1.0,0.9994941831057157
1d,VIII,0.9997470275739945,1.0,0.9994941831057157
1d,IX,0.9997470275739945,1.0,0.9994941831057157
2a,I,0.9997470275739945,1.0,0.9994941831057157
2a,II,0.9997470275739945,1.0,0.9994941831057157
2a,III,0.9997470275739945,1.0,0.9994941831057157
2a,IV,0.9997470275739945,1.0,0.9994941831057157
2a,V,0.9997470275739945,1.0,0.9994941831057157
2a,VI,0.9997470275739945,1.0,0.9994941831057157
2a,VII,0.9997470275739945,1.0,0.9994941831057157
2a,VIII,0.9997470275739945,1.0,0.9994941831057157
2a,IX,0.9997470275739945,1.0,0.9994941831057157
2b,I,0.9997470275739945,1.0,0.9994941831057157
2b,II,0.9997470275739945,1.0,0.9994941831057157
2b,III,0.9997470275739945,1.0,0.9994941831057157
2b,IV,0.9997470275739945,1.0,0.9994941831057157
2b,V,0.9997470275739945,1.0,0.9994941831057157
2b,VI,0.9997470275739945,1.0,0.9994941831057157
2b,VII,0.9997470275739945,1.0,0.9994941831057157
2b,VIII,0.9997470275739945,1.0,0.9994941831057157
2b,IX,0.9997470275739945,1.0,0.9994941831057157
2c,I,0.9997470275739945,1.0,0.9994941831057157
2c,II,0.9997470275739945,1.0,0.9994941831057157
2c,III,0.9997470275739945,1.0,0.9994941831057157
2c,IV,0.9997470275739945,1.0,0.9994941831057157
2c,V,0.9997470275739945,1.0,0.9994941831057157
2c,VI,0.9997470275739945,1.0,0.9994941831057157
2c,VII,0.9997470275739945,1.0,0.9994941831057157
2c,VIII,0.9997470275739945,1.0,0.9994941831057157
2c,IX,0.9997470275739945,1.0,0.9994941831057157
2d,I,0.9997470275739945,1.0,0.9994941831057157
2d,II,0.9997470275739945,1.0,0.9994941831057157
2d,III,0.9997470275739945,1.0,0.9994941831057157
