Group,Step,F1,Precision,Recall
1a,I,0.9696816574027286,0.9974012474012474,0.9434611602753196
1a,II,0.9696816574027286,0.9974012474012474,0.9434611602753196
1a,III,0.944070429829104,0.9972647702407003,0.8962635201573255
1a,IV,0.9457083764219235,0.9972737186477645,0.8992133726647001
1a,V,0.9451629591308847,0.9972707423580786,0.8982300884955752
1a,VI,0.9424273858921162,0.9972557628979144,0.8933136676499508
1a,VII,0.9424273858921162,0.9972557628979144,0.8933136676499508
1a,VIII,0.9424273858921162,0.9972557628979144,0.8933136676499508
1a,IX,0.9424273858921162,0.9972557628979144,0.8933136676499508
1b,I,0.9950714637752588,0.9975296442687747,0.9926253687315634
1b,II,0.9950714637752588,0.9975296442687747,0.9926253687315634
1b,III,0.9945759368836292,0.9975272007912958,0.9916420845624385
1b,IV,0.9923400049419323,0.9975161450571287,0.9872173058013766
1b,V,0.9870839542970691,0.9974899598393574,0.9768928220255654
1b,VI,0.9514013885317563,0.9973045822102425,0.9095378564405113
1b,VII,0.9429756350440642,0.9972587719298246,0.8942969518190758
1b,VIII,0.9421530479896238,0.9972542559033498,0.8928220255653884
1b,IX,0.8951503657545381,0.9969824984912492,0.8121927236971485
1c,I,0.9953190440995319,0.9975308641975309,0.9931170108161259
1c,II,0.9950714637752588,0.9975296442687747,0.9926253687315634
1c,III,0.993583415597236,0.9975222993062438,0.9896755162241888
1c,IV,0.9920909540286703,0.9975149105367793,0.9867256637168141
1c,V,0.9416039449779393,0.9972512369433755,0.8918387413962635
1c,VI,0.9410542716177617,0.9972482113373693,0.8908554572271387
1c,VII,0.9402286902286903,0.9972436604189636,0.8893805309734514
1c,VIII,0.9394018205461638,0.9972390944229708,0.887905604719764
1c,IX,0.9391259105098856,0.9972375690607734,0.8874139626352016
1d,I,0.9933349790175265,0.9975210708973723,0.9891838741396264
1d,II,0.993583415597236,0.9975222993062438,0.9896755162241888
1d,III,0.9930864197530864,0.9975198412698413,0.988692232055064
1d,IV,0.9928377377130155,0.9975186104218362,0.9882005899705014
1d,V,0.9925889328063241,0.9975173783515392,0.987708947885939
1d,VI,0.9923400049419323,0.9975161450571287,0.9872173058013766
1d,VII,0.9920909540286703,0.9975149105367793,0.9867256637168141
1d,VIII,0.9918417799752781,0.9975136747886624,0.9862340216322517
1d,IX,0.9915924826904056,0.9975124378109452,0.9857423795476893
2a,I,0.9446169772256728,0.9972677595628415,0.8972468043264503
2a,II,0.9446169772256728,0.9972677595628415,0.8972468043264503
2a,III,0.90287866559053,0.9970291146761735,0.8249754178957719
2a,IV,0.9067024128686327,0.9970518867924528,0.8313667649950836
2a,V,0.9110814419225635,0.9970777323202805,0.8387413962635202
2a,VI,0.9113721302722905,0.9970794392523364,0.8392330383480826
2a,VII,0.9113721302722905,0.9970794392523364,0.8392330383480826
2a,VIII,0.8903401360544217,0.9969530773918343,0.8043264503441495
2a,IX,0.8765840220385674,0.9968671679197995,0.7822025565388397
2b,I,0.9591628381827463,0.9973460721868365,0.923795476892822
2b,II,0.9335774058577406,0.9972067039106145,0.8775811209439528
2b,III,0.9530166880616174,0.9973132724341752,0.9124877089478859
2b,IV,0.9540907925109002,0.9973190348525469,0.9144542772861357
2b,V,0.9299396483862503,0.9971862689926843,0.8711897738446411
2b,VI,0.9282522996057818,0.9971767363071711,0.8682399213372665
2b,VII,0.9282522996057818,0.9971767363071711,0.8682399213372665
2b,VIII,0.928533893851813,0.9971783295711061,0.8687315634218289
2b,IX,0.9279705573080967,0.9971751412429378,0.867748279252704
2c,I,0.9338562091503267,0.9972082635399219,0.8780727630285152
2c,II,0.9341348667015159,0.9972098214285714,0.8785644051130777
2c,III,0.9197350993377483,0.9971280873061459,0.8534906588003933
2c,IV,0.9248615871341945,0.9971574758385446,0.8623402163225172
2c,V,0.9237265769332278,0.9971509971509972,0.8603736479842674
2c,VI,0.9405040270200052,0.9972451790633609,0.8898721730580138
2c,VII,0.9248615871341945,0.9971574758385446,0.8623402163225172
2c,VIII,0.9248615871341945,0.9971574758385446,0.8623402163225172
2c,IX,0.9242943814297019,0.9971542401821286,0.8613569321533924
2d,I,0.9948237614000492,0.9975284231339595,0.992133726647001
2d,II,0.9945759368836292,0.9975272007912958,0.9916420845624385
2d,III,0.9920909540286703,0.9975149105367793,0.9867256637168141
2d,IV,0.9905940594059406,0.9975074775672981,0.9837758112094396
2d,V,0.9396775871034841,0.9972406181015453,0.8883972468043264
2d,VI,0.9391259105098856,0.9972375690607734,0.8874139626352016
2d,VII,0.9394018205461638,0.9972390944229708,0.887905604719764
2d,VIII,0.8921488725889704,0.9969641772920461,0.8072763028515241
2d,IX,0.8765840220385674,0.9968671679197995,0.7822025565388397
2e,I,0.9825349301397206,0.997467071935157,0.9680432645034415
2e,II,0.9681174089068826,0.997393117831074,0.9405113077679449
2e,III,0.9812640519610293,0.9974606399187405,0.9655850540806293
2e,IV,0.9649746192893401,0.9973767051416579,0.9346116027531957
2e,V,0.9391259105098856,0.9972375690607734,0.8874139626352016
2e,VI,0.9211640211640212,0.9971363115693013,0.8559488692232055
2e,VII,0.8525604952166573,0.9967105263157895,0.7448377581120944
2e,VIII,0.8509439278670048,0.9966996699669967,0.7423795476892822
2e,IX,0.7638678387390119,0.9960474308300395,0.6194690265486725
2f,I,0.9830423940149626,0.9974696356275303,0.9690265486725663
2f,II,0.9681174089068826,0.997393117831074,0.9405113077679449
2f,III,0.9910935180603662,0.9975099601593626,0.9847590953785644
2f,IV,0.9641859283718568,0.9973725696269049,0.9331366764995084
2f,V,0.9399532102937354,0.9972421400992829,0.8888888888888888
2f,VI,0.9369134515119917,0.9972253052164262,0.883480825958702
2f,VII,0.9310615989515072,0.9971925884334644,0.8731563421828908
2f,VIII,0.936358894105373,0.9972222222222222,0.8824975417895772
2f,IX,0.9344133786255553,0.9972113775794758,0.8790560471976401
3a,I,0.9437969437969438,0.9972632731253421,0.895771878072763
3a,II,0.9162901939941536,0.9971081550028918,0.8475909537856441
3a,III,0.9134026112443379,0.9970913321698662,0.8426745329400197
3a,IV,0.9618126272912424,0.9973600844772967,0.9287118977384464
3a,V,0.9330193615907901,0.9972035794183445,0.8765978367748279
3a,VI,0.9268421052631579,0.9971687429218573,0.8657817109144543
3a,VII,0.9282522996057818,0.9971767363071711,0.8682399213372665
3a,VIII,0.9072883172561629,0.997055359246172,0.8323500491642084
3a,IX,0.9160021265284424,0.9971064814814815,0.8470993117010817
3b,I,0.93580375782881,0.9972191323692993,0.8815142576204523
3b,II,0.9341348667015159,0.9972098214285714,0.8785644051130777
3b,III,0.886400873839432,0.9969287469287469,0.7979351032448377
3b,IV,0.886096694892106,0.9969268592501537,0.7974434611602753
3b,V,0.9078735940010713,0.9970588235294118,0.8333333333333334
3b,VI,0.9145594889539527,0.9970980847359258,0.8446411012782694
3b,VII,0.8731693838076817,0.9968454258675079,0.7767944936086529
3b,VIII,0.871298090229726,0.9968334388853705,0.7738446411012783
3b,IX,0.8684794672586016,0.9968152866242038,0.7694198623402163
3c,I,0.9341348667015159,0.9972098214285714,0.8785644051130777
3c,II,0.9197350993377483,0.9971280873061459,0.8534906588003933
3c,III,0.9391259105098856,0.9972375690607734,0.8874139626352016
3c,IV,0.9416039449779393,0.9972512369433755,0.8918387413962635
3c,V,0.9399532102937354,0.9972421400992829,0.8888888888888888
3c,VI,0.9290966386554622,0.9971815107102593,0.8697148475909537
3c,VII,0.9058223772471157,0.9970466627288836,0.8298918387413963
3c,VIII,0.9087503344929088,0.9970640046975925,0.8348082595870207
3c,IX,0.9081659973226238,0.9970605526161082,0.8338249754178958
3d,I,0.982026959560659,0.9974645030425964,0.9670599803343166
3d,II,0.9662864385297846,0.9973835688121402,0.9370698131760079
3d,III,0.9654997463216641,0.9973794549266247,0.9355948869223205
3d,IV,0.9391259105098856,0.9972375690607734,0.8874139626352016
3d,V,0.9191624701828783,0.9971247843588269,0.8525073746312685
3d,VI,0.8879192800654486,0.9969381506429884,0.80039331366765
3d,VII,0.9290966386554622,0.9971815107102593,0.8697148475909537
3d,VIII,0.8759647188533627,0.9968632371392723,0.7812192723697149
3d,IX,0.8463932107496464,0.9966688874083944,0.7354965585054081
4a,I,0.93580375782881,0.9972191323692993,0.8815142576204523
4a,II,0.9194488606253313,0.9971264367816092,0.8529990167158309
4a,III,0.886096694892106,0.9969268592501537,0.7974434611602753
4a,IV,0.886400873839432,0.9969287469287469,0.7979351032448377
4a,V,0.9011048234977095,0.9970184853905785,0.8220255653883972
4a,VI,0.9131130063965884,0.9970896391152503,0.8421828908554573
4a,VII,0.9002157497303128,0.9970131421744325,0.8205506391347099
4a,VIII,0.8942516268980477,0.9969770253929867,0.8107177974434612
4a,IX,0.8939517222674261,0.9969751966122202,0.8102261553588987
