Group,Step,F1,Precision,Recall
1a,I,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,II,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,III,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,IV,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,V,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,VI,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,VII,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,VIII,0.9976928992566009,0.9989733059548255,0.996415770609319
1a,IX,0.9976928992566009,0.9989733059548255,0.996415770609319
1b,I,0.9984631147540983,0.9989748846745259,0.9979518689196109
1b,II,0.9982065078145017,0.9989743589743589,0.9974398361495136
1b,III,0.9922680412371134,0.9989621172807472,0.985663082437276
1b,IV,0.9838877338877339,0.9989445910290238,0.9692780337941628
1b,V,0.9838877338877339,0.9989445910290238,0.9692780337941628
1b,VI,0.9823008849557522,0.9989412387506618,0.9662058371735791
1b,VII,0.9823008849557522,0.9989412387506618,0.9662058371735791
1b,VIII,0.9823008849557522,0.9989412387506618,0.9662058371735791
1b,IX,0.9823008849557522,0.9989412387506618,0.9662058371735791
1c,I,0.9984631147540983,0.9989748846745259,0.9979518689196109
1c,II,0.9984631147540983,0.9989748846745259,0.9979518689196109
1c,III,0.9953751284686536,0.998968540484786,0.9918074756784434
1c,IV,0.9875712066286898,0.998952331063384,0.9764464925755248
1c,V,0.983359334373375,0.9989434759640782,0.9682539682539683
1c,VI,0.9823008849557522,0.9989412387506618,0.9662058371735791
1c,VII,0.9852063327277446,0.9989473684210526,0.9718381976446493
1c,VIII,0.9852063327277446,0.9989473684210526,0.9718381976446493
1c,IX,0.9852063327277446,0.9989473684210526,0.9718381976446493
1d,I,0.9982065078145017,0.9989743589743589,0.9974398361495136
1d,II,0.9982065078145017,0.9989743589743589,0.9974398361495136
1d,III,0.9979497693490518,0.9989738327347357,0.9969278033794163
1d,IV,0.9979497693490518,0.9989738327347357,0.9969278033794163
1d,V,0.9979497693490518,0.9989738327347357,0.9969278033794163
1d,VI,0.9979497693490518,0.9989738327347357,0.9969278033794163
1d,VII,0.9979497693490518,0.9989738327347357,0.9969278033794163
1d,VIII,0.9979497693490518,0.9989738327347357,0.9969278033794163
1d,IX,0.9979497693490518,0.9989738327347357,0.9969278033794163
2a,I,0.9976928992566009,0.9989733059548255,0.996415770609319
2a,II,0.9976928992566009,0.9989733059548255,0.996415770609319
2a,III,0.9914882641217436,0.998960498960499,0.9841269841269841
2a,IV,0.9828303850156087,0.9989423585404548,0.9672299027137736
2a,V,0.9820359281437125,0.9989406779661016,0.9656938044034818
2a,VI,0.8904653802497162,0.9987269255251432,0.8033794162826421
2a,VII,0.8854047890535918,0.9987138263665595,0.7951868919610855
2a,VIII,0.8854047890535918,0.9987138263665595,0.7951868919610855
2a,IX,0.8854047890535918,0.9987138263665595,0.7951868919610855
2b,I,0.9976928992566009,0.9989733059548255,0.996415770609319
2b,II,0.9976928992566009,0.9989733059548255,0.996415770609319
2b,III,0.9946001542813062,0.9989669421487604,0.9902713773681515
2b,IV,0.05084745762711865,0.9622641509433962,0.026113671274961597
2b,V,0.035175879396984924,0.9459459459459459,0.017921146953405017
2b,VI,0.03319919517102616,0.9428571428571428,0.016897081413210446
2b,VII,0.03911735205616851,0.9512195121951219,0.019969278033794162
2b,VIII,0.03911735205616851,0.9512195121951219,0.019969278033794162
2b,IX,0.03911735205616851,0.9512195121951219,0.019969278033794162
2c,I,0.9976928992566009,0.9989733059548255,0.996415770609319
2c,II,0.9976928992566009,0.9989733059548255,0.996415770609319
2c,III,0.9974358974358974,0.9989727786337956,0.9959037378392217
2c,IV,0.9974358974358974,0.9989727786337956,0.9959037378392217
2c,V,0.9974358974358974,0.9989727786337956,0.9959037378392217
2c,VI,0.9974358974358974,0.9989727786337956,0.9959037378392217
2c,VII,0.9974358974358974,0.9989727786337956,0.9959037378392217
2c,VIII,0.9974358974358974,0.9989727786337956,0.9959037378392217
2c,IX,0.9969214982042073,0.9989717223650385,0.9948796722990272
2d,I,0.9984631147540983,0.9989748846745259,0.9979518689196109
2d,II,0.9953751284686536,0.998968540484786,0.9918074756784434
2d,III,0.9838877338877339,0.9989445910290238,0.9692780337941628
2d,IV,0.9836236028073824,0.9989440337909187,0.9687660010240655
2d,V,0.9820359281437125,0.9989406779661016,0.9656938044034818
2d,VI,0.9817708333333334,0.9989401165871754,0.9651817716333846
2d,VII,0.9817708333333334,0.9989401165871754,0.9651817716333846
2d,VIII,0.9817708333333334,0.9989401165871754,0.9651817716333846
2d,IX,0.977510460251046,0.9989310529128808,0.956989247311828
2e,I,0.9982065078145017,0.9989743589743589,0.9974398361495136
2e,II,0.9979497693490518,0.9989738327347357,0.9969278033794163
2e,III,0.997178763785586,0.998972250770812,0.9953917050691244
2e,IV,0.9912280701754386,0.998959958398336,0.9836149513568868
2e,V,0.9830949284785435,0.9989429175475687,0.967741935483871
2e,VI,0.9769754055468342,0.9989299090422686,0.9559651817716334
2e,VII,0.9748295752490823,0.99892530897367,0.9518689196108551
2e,VIII,0.9748295752490823,0.99892530897367,0.9518689196108551
2e,IX,0.9748295752490823,0.99892530897367,0.9518689196108551
2f,I,0.9982065078145017,0.9989743589743589,0.9974398361495136
2f,II,0.9982065078145017,0.9989743589743589,0.9974398361495136
2f,III,0.9943415637860082,0.9989664082687338,0.9897593445980543
2f,IV,0.9865215137376879,0.9989501312335958,0.9743983614951357
2f,V,0.9828303850156087,0.9989423585404548,0.9672299027137736
2f,VI,0.9815056004167751,0.9989395546129375,0.9646697388632872
2f,VII,0.9844155844155844,0.9989457037427517,0.9703020993343574
2f,VIII,0.9844155844155844,0.9989457037427517,0.9703020993343574
2f,IX,0.9844155844155844,0.9989457037427517,0.9703020993343574
3a,I,0.9976928992566009,0.9989733059548255,0.996415770609319
3a,II,0.9946001542813062,0.9989669421487604,0.9902713773681515
3a,III,0.9828303850156087,0.9989423585404548,0.9672299027137736
3a,IV,0.03319919517102616,0.9428571428571428,0.016897081413210446
3a,V,0.03319919517102616,0.9428571428571428,0.016897081413210446
3a,VI,0.019250253292806486,0.9047619047619048,0.00972862263184844
3a,VII,0.0030643513789581204,0.6,0.0015360983102918587
3a,VIII,0.0030643513789581204,0.6,0.0015360983102918587
3a,IX,0.0030643513789581204,0.6,0.0015360983102918587
3b,I,0.9138888888888889,0.9987856709168185,0.8422939068100358
3b,II,0.9132851584213452,0.9987841945288753,0.8412698412698413
3b,III,0.9023020774845593,0.9987569919204475,0.8228366615463389
3b,IV,0.8923512747875354,0.9987317691819911,0.8064516129032258
3b,V,0.8914091295718741,0.9987293519695044,0.804915514592934
3b,VI,0.8854047890535918,0.9987138263665595,0.7951868919610855
3b,VII,0.8854047890535918,0.9987138263665595,0.7951868919610855
3b,VIII,0.8854047890535918,0.9987138263665595,0.7951868919610855
3b,IX,0.8854047890535918,0.9987138263665595,0.7951868919610855
3c,I,0.9138888888888889,0.9987856709168185,0.8422939068100358
3c,II,0.9132851584213452,0.9987841945288753,0.8412698412698413
3c,III,0.905068608232988,0.9987639060568603,0.8274449564772145
3c,IV,0.895168126589432,0.9987389659520807,0.8110599078341014
3c,V,0.8914091295718741,0.9987293519695044,0.804915514592934
3c,VI,0.8914091295718741,0.9987293519695044,0.804915514592934
3c,VII,0.8904653802497162,0.9987269255251432,0.8033794162826421
3c,VIII,0.8904653802497162,0.9987269255251432,0.8033794162826421
3c,IX,0.8904653802497162,0.9987269255251432,0.8033794162826421
3d,I,0.9982065078145017,0.9989743589743589,0.9974398361495136
3d,II,0.9946001542813062,0.9989669421487604,0.9902713773681515
3d,III,0.9912280701754386,0.998959958398336,0.9836149513568868
3d,IV,0.9830949284785435,0.9989429175475687,0.967741935483871
3d,V,0.9815056004167751,0.9989395546129375,0.9646697388632872
3d,VI,0.9764397905759162,0.9989287627209427,0.9549411162314388
