Group,Step,F1,Precision,Recall
1a,I,0.9950592885375494,0.9985126425384234,0.9916297390448056
1a,II,0.995307483329217,0.9985133795837463,0.9921221073362876
1a,III,0.9950592885375494,0.9985126425384234,0.9916297390448056
1a,IV,0.9945625308947108,0.9985111662531018,0.9906450024618415
1a,V,0.9945625308947108,0.9985111662531018,0.9906450024618415
1a,VI,0.9781461944235117,0.9984615384615385,0.9586410635155096
1a,VII,0.9753148614609571,0.998452810727179,0.9532250123092073
1a,VIII,0.9742813918305597,0.9984496124031008,0.9512555391432792
1a,IX,0.9643584521384929,0.9984185556141276,0.9325455440669621
1b,I,0.9972886369238353,0.9985192497532083,0.9960610536681438
1b,II,0.9972886369238353,0.9985192497532083,0.9960610536681438
1b,III,0.9967940813810111,0.9985177865612648,0.9950763170851797
1b,IV,0.9965466206216083,0.9985170538803757,0.9945839487936977
1b,V,0.9903201787043932,0.9984984984984985,0.982274741506647
1b,VI,0.9729866195405201,0.9984455958549223,0.9487936976858691
1b,VII,0.9638308711156394,0.9984168865435357,0.931560807483998
1b,VIII,0.9635668789808918,0.9984160506863781,0.931068439192516
1b,IX,0.9252311756935271,0.9982896237172177,0.8621368783850321
1c,I,0.9970414201183432,0.9985185185185185,0.9955686853766618
1c,II,0.9970414201183432,0.9985185185185185,0.9955686853766618
1c,III,0.9965466206216083,0.9985170538803757,0.9945839487936977
1c,IV,0.9955555555555555,0.9985141158989599,0.9926144756277696
1c,V,0.9945625308947108,0.9985111662531018,0.9906450024618415
1c,VI,0.9860418743768694,0.9984856133266027,0.9739044805514525
1c,VII,0.9646220412318656,0.9984193888303478,0.9330379123584441
1c,VIII,0.9537037037037037,0.9983844911147012,0.912850812407681
1c,IX,0.9577248270561107,0.9983974358974359,0.9202363367799113
1d,I,0.9970414201183432,0.9985185185185185,0.9955686853766618
1d,II,0.9967940813810111,0.9985177865612648,0.9950763170851797
1d,III,0.9918215613382899,0.9985029940119761,0.9852289512555391
1d,IV,0.9895678092399404,0.9984962406015038,0.9807976366322009
1d,V,0.989065606361829,0.9984947315604616,0.9798129000492368
1d,VI,0.9885629040278469,0.9984932194876946,0.9788281634662728
1d,VII,0.9870517928286853,0.9984886649874055,0.9758739537173806
1d,VIII,0.9870517928286853,0.9984886649874055,0.9758739537173806
1d,IX,0.9870517928286853,0.9984886649874055,0.9758739537173806
2a,I,0.9960513326752222,0.9985155863433943,0.9935992122107337
2a,II,0.9948109710896961,0.9985119047619048,0.9911373707533235
2a,III,0.9918215613382899,0.9985029940119761,0.9852289512555391
2a,IV,0.9753148614609571,0.998452810727179,0.9532250123092073
2a,V,0.9729866195405201,0.9984455958549223,0.9487936976858691
2a,VI,0.9601226993865031,0.9984051036682615,0.9246676514032496
2a,VII,0.9364705882352942,0.9983277591973244,0.8818316100443131
2a,VIII,0.8900409276944066,0.9981640146878825,0.8030526834071886
2a,IX,0.8028251912889935,0.9978054133138259,0.671590349581487
2b,I,0.9950592885375494,0.9985126425384234,0.9916297390448056
2b,II,0.995307483329217,0.9985133795837463,0.9921221073362876
2b,III,0.9925705794947994,0.9985052316890882,0.9867060561299852
2b,IV,0.991321596826184,0.9985014985014985,0.9842442146725751
2b,V,0.9796839729119639,0.9984662576687117,0.9615952732644018
2b,VI,0.952626158599382,0.9983810037776578,0.9108813392417529
2b,VII,0.9108433734939759,0.9982394366197183,0.8375184638109305
2b,VIII,0.8598654708520179,0.9980481457384516,0.7552929591334318
2b,IX,0.8521444695259593,0.9980171844018506,0.7434761201378631
2c,I,0.9943139678615575,0.9985104270109235,0.9901526341703595
2c,II,0.9938164729161514,0.9985089463220675,0.9891678975873953
2c,III,0.9801955377287541,0.998467824310521,0.9625800098473658
2c,IV,0.9648854961832061,0.9984202211690363,0.9335302806499262
2c,V,0.958791911952905,0.9984008528784648,0.9222058099458394
2c,VI,0.8808803301237964,0.9981296758104738,0.7882816346627277
2c,VII,0.5746320953048353,0.9963547995139733,0.4037419990152634
2c,VIII,0.5746320953048353,0.9963547995139733,0.4037419990152634
2c,IX,0.47754491017964074,0.9953198127925117,0.31413096996553425
2d,I,0.9972886369238353,0.9985192497532083,0.9960610536681438
2d,II,0.9970414201183432,0.9985185185185185,0.9955686853766618
2d,III,0.9948109710896961,0.9985119047619048,0.9911373707533235
2d,IV,0.9943139678615575,0.9985104270109235,0.9901526341703595
2d,V,0.9842696629213483,0.9984802431610942,0.9704579025110783
2d,VI,0.9606540623403168,0.9984067976633032,0.9256523879862137
2d,VII,0.960919540229885,0.9984076433121019,0.9261447562776958
2d,VIII,0.9528957528957529,0.9983818770226537,0.9113737075332349
2d,IX,0.8563396120326118,0.9980340760157274,0.7498769079271295
