Group,Step,F1,Precision,Recall
1a,I,0.02305764411027569,0.575,0.011764705882352941
1a,II,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,III,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,IV,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,V,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,VI,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,VII,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,VIII,0.01309823677581864,0.43333333333333335,0.006649616368286445
1a,IX,0.01309823677581864,0.43333333333333335,0.006649616368286445
1b,I,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,II,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,III,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,IV,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,V,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,VI,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,VII,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,VIII,0.7975609756097561,0.9871698113207548,0.6690537084398976
1b,IX,0.7975609756097561,0.9871698113207548,0.6690537084398976
1c,I,0.7982937233394272,0.987189148455162,0.670076726342711
1c,II,0.7982937233394272,0.987189148455162,0.670076726342711
1c,III,0.7982937233394272,0.987189148455162,0.670076726342711
1c,IV,0.7982937233394272,0.987189148455162,0.670076726342711
1c,V,0.7982937233394272,0.987189148455162,0.670076726342711
1c,VI,0.7982937233394272,0.987189148455162,0.670076726342711
1c,VII,0.7982937233394272,0.987189148455162,0.670076726342711
1c,VIII,0.7982937233394272,0.987189148455162,0.670076726342711
1c,IX,0.7982937233394272,0.987189148455162,0.670076726342711
1d,I,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,II,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,III,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,IV,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,V,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,VI,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,VII,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,VIII,0.7979274611398963,0.9871794871794872,0.6695652173913044
1d,IX,0.7979274611398963,0.9871794871794872,0.6695652173913044
2a,I,0.0,0.0,0.0
2a,II,0.0,0.0,0.0
2a,III,0.0,0.0,0.0
2a,IV,0.0,0.0,0.0
2a,V,0.0,0.0,0.0
2a,VI,0.0,0.0,0.0
2a,VII,0.0,0.0,0.0
2a,VIII,0.0,0.0,0.0
2a,IX,0.0,0.0,0.0
2b,I,0.02305764411027569,0.575,0.011764705882352941
2b,II,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,III,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,IV,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,V,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,VI,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,VII,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,VIII,0.01309823677581864,0.43333333333333335,0.006649616368286445
2b,IX,0.01309823677581864,0.43333333333333335,0.006649616368286445
2c,I,0.009086320040383645,0.34615384615384615,0.004603580562659846
2c,II,0.009086320040383645,0.34615384615384615,0.004603580562659846
2c,III,0.009086320040383645,0.34615384615384615,0.004603580562659846
2c,IV,0.009086320040383645,0.34615384615384615,0.004603580562659846
2c,V,0.009086320040383645,0.34615384615384615,0.004603580562659846
2c,VI,0.009086320040383645,0.34615384615384615,0.004603580562659846
2c,VII,0.009086320040383645,0.34615384615384615,0.004603580562659846
