Group,Step,F1,Precision,Recall
1a,I,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,II,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,III,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,IV,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,V,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,VI,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,VII,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,VIII,0.9948032665181886,0.9965294992563213,0.9930830039525692
1a,IX,0.9948032665181886,0.9965294992563213,0.9930830039525692
1b,I,0.9953005194162751,0.9965329370975731,0.9940711462450593
1b,II,0.9953005194162751,0.9965329370975731,0.9940711462450593
1b,III,0.9953005194162751,0.9965329370975731,0.9940711462450593
1b,IV,0.9955489614243324,0.9965346534653465,0.9945652173913043
1b,V,0.9953005194162751,0.9965329370975731,0.9940711462450593
1b,VI,0.9950519544779812,0.9965312190287413,0.9935770750988142
1b,VII,0.9950519544779812,0.9965312190287413,0.9935770750988142
1b,VIII,0.9950519544779812,0.9965312190287413,0.9935770750988142
1b,IX,0.9950519544779812,0.9965312190287413,0.9935770750988142
1c,I,0.9955489614243324,0.9965346534653465,0.9945652173913043
1c,II,0.9955489614243324,0.9965346534653465,0.9945652173913043
1c,III,0.9955489614243324,0.9965346534653465,0.9945652173913043
1c,IV,0.9955489614243324,0.9965346534653465,0.9945652173913043
1c,V,0.9948032665181886,0.9965294992563213,0.9930830039525692
1c,VI,0.9948032665181886,0.9965294992563213,0.9930830039525692
1c,VII,0.9948032665181886,0.9965294992563213,0.9930830039525692
1c,VIII,0.9948032665181886,0.9965294992563213,0.9930830039525692
1c,IX,0.9948032665181886,0.9965294992563213,0.9930830039525692
1d,I,0.9955489614243324,0.9965346534653465,0.9945652173913043
1d,II,0.9955489614243324,0.9965346534653465,0.9945652173913043
1d,III,0.9953005194162751,0.9965329370975731,0.9940711462450593
1d,IV,0.9948032665181886,0.9965294992563213,0.9930830039525692
1d,V,0.9948032665181886,0.9965294992563213,0.9930830039525692
1d,VI,0.9940564635958395,0.9965243296921549,0.991600790513834
1d,VII,0.9940564635958395,0.9965243296921549,0.991600790513834
1d,VIII,0.9940564635958395,0.9965243296921549,0.991600790513834
1d,IX,0.9940564635958395,0.9965243296921549,0.991600790513834
2a,I,0.9945544554455445,0.9965277777777778,0.9925889328063241
2a,II,0.9945544554455445,0.9965277777777778,0.9925889328063241
2a,III,0.9945544554455445,0.9965277777777778,0.9925889328063241
2a,IV,0.9933085501858736,0.9965191447041273,0.9901185770750988
2a,V,0.9842460615153789,0.9964556962025316,0.9723320158102767
2a,VI,0.9837378033525144,0.9964521033958439,0.9713438735177866
2a,VII,0.9832290362953692,0.9964485032978183,0.9703557312252964
2a,VIII,0.9834834834834835,0.9964503042596349,0.9708498023715415
2a,IX,0.9834834834834835,0.9964503042596349,0.9708498023715415
2b,I,0.9948032665181886,0.9965294992563213,0.9930830039525692
2b,II,0.9948032665181886,0.9965294992563213,0.9930830039525692
2b,III,0.9945544554455445,0.9965277777777778,0.9925889328063241
2b,IV,0.9945544554455445,0.9965277777777778,0.9925889328063241
2b,V,0.9925595238095238,0.9965139442231076,0.9886363636363636
2b,VI,0.9918093819806404,0.9965087281795512,0.9871541501976284
2b,VII,0.9915590863952334,0.9965069860279441,0.9866600790513834
2b,VIII,0.9918093819806404,0.9965087281795512,0.9871541501976284
2b,IX,0.9913086665011175,0.9965052421367948,0.9861660079051383
2c,I,0.9950519544779812,0.9965312190287413,0.9935770750988142
2c,II,0.994305521168606,0.9965260545905708,0.9920948616600791
2c,III,0.7173981686138301,0.9938757655293088,0.5612648221343873
2c,IV,0.7137428752374921,0.9938271604938271,0.5568181818181818
2c,V,0.7117031398667936,0.9937998228520815,0.5543478260869565
2c,VI,0.7076041998090996,0.9937444146559428,0.549407114624506
2c,VII,0.7076041998090996,0.9937444146559428,0.549407114624506
2c,VIII,0.7076041998090996,0.9937444146559428,0.549407114624506
2c,IX,0.7076041998090996,0.9937444146559428,0.549407114624506
2d,I,0.9953005194162751,0.9965329370975731,0.9940711462450593
2d,II,0.9953005194162751,0.9965329370975731,0.9940711462450593
2d,III,0.9955489614243324,0.9965346534653465,0.9945652173913043
2d,IV,0.9953005194162751,0.9965329370975731,0.9940711462450593
2d,V,0.9948032665181886,0.9965294992563213,0.9930830039525692
2d,VI,0.9948032665181886,0.9965294992563213,0.9930830039525692
2d,VII,0.9948032665181886,0.9965294992563213,0.9930830039525692
2d,VIII,0.9945544554455445,0.9965277777777778,0.9925889328063241
2d,IX,0.9948032665181886,0.9965294992563213,0.9930830039525692
2e,I,0.9953005194162751,0.9965329370975731,0.9940711462450593
2e,II,0.9953005194162751,0.9965329370975731,0.9940711462450593
2e,III,0.9950519544779812,0.9965312190287413,0.9935770750988142
2e,IV,0.9950519544779812,0.9965312190287413,0.9935770750988142
2e,V,0.8889496717724289,0.9957107843137255,0.8028656126482213
2e,VI,0.8886456908344733,0.9957081545064378,0.8023715415019763
2e,VII,0.8886456908344733,0.9957081545064378,0.8023715415019763
2e,VIII,0.8880372296742404,0.9957028852056476,0.8013833992094862
2e,IX,0.8877327491785323,0.9957002457002457,0.8008893280632411
2f,I,0.9955489614243324,0.9965346534653465,0.9945652173913043
2f,II,0.9953005194162751,0.9965329370975731,0.9940711462450593
2f,III,0.9950519544779812,0.9965312190287413,0.9935770750988142
2f,IV,0.9945544554455445,0.9965277777777778,0.9925889328063241
2f,V,0.9536321483771252,0.996232508073197,0.9145256916996047
2f,VI,0.9536321483771252,0.996232508073197,0.9145256916996047
2f,VII,0.9533625354290132,0.996230479267636,0.9140316205533597
2f,VIII,0.9533625354290132,0.996230479267636,0.9140316205533597
2f,IX,0.9533625354290132,0.996230479267636,0.9140316205533597
3a,I,0.9945544554455445,0.9965277777777778,0.9925889328063241
3a,II,0.9945544554455445,0.9965277777777778,0.9925889328063241
3a,III,0.9945544554455445,0.9965277777777778,0.9925889328063241
3a,IV,0.983991995997999,0.9964539007092199,0.9718379446640316
3a,V,0.9796533534287868,0.9964230965763924,0.9634387351778656
3a,VI,0.9783702213279678,0.9964139344262295,0.9609683794466403
3a,VII,0.9783702213279678,0.9964139344262295,0.9609683794466403
3a,VIII,0.9786271058586875,0.996415770609319,0.9614624505928854
3a,IX,0.9781132075471698,0.9964120963608406,0.9604743083003953
3b,I,0.9945544554455445,0.9965277777777778,0.9925889328063241
3b,II,0.994305521168606,0.9965260545905708,0.9920948616600791
3b,III,0.7173981686138301,0.9938757655293088,0.5612648221343873
3b,IV,0.6734160679294579,0.9932562620423893,0.5093873517786561
3b,V,0.49889135254988914,0.9897360703812317,0.33349802371541504
3b,VI,0.4977810650887574,0.9897058823529412,0.3325098814229249
3b,VII,0.4972253052164262,0.9896907216494846,0.33201581027667987
3b,VIII,0.49611255090707146,0.9896602658788775,0.3310276679841897
3b,IX,0.4955555555555556,0.9896449704142012,0.33053359683794464
3c,I,0.9950519544779812,0.9965312190287413,0.9935770750988142
3c,II,0.994305521168606,0.9965260545905708,0.9920948616600791
3c,III,0.7169930511686671,0.9938704028021016,0.5607707509881423
3c,IV,0.7133354450427621,0.9938217122683142,0.5563241106719368
3c,V,0.690522243713733,0.9935064935064936,0.5291501976284585
3c,VI,0.690522243713733,0.9935064935064936,0.5291501976284585
3c,VII,0.6888315041962556,0.9934823091247672,0.5271739130434783
3c,VIII,0.6884081369066839,0.9934762348555451,0.5266798418972332
3c,IX,0.6888315041962556,0.9934823091247672,0.5271739130434783
3d,I,0.9953005194162751,0.9965329370975731,0.9940711462450593
3d,II,0.9953005194162751,0.9965329370975731,0.9940711462450593
