Group,Step,F1,Precision,Recall
1a,I,0.9940209267563528,0.999498997995992,0.9886025768087215
1a,II,0.9828715365239294,0.9994877049180327,0.966798810703667
1a,III,0.9300476947535771,0.9994305239179955,0.8696729435084242
1a,IV,0.9530723360124449,0.9994562262098967,0.910802775024777
1a,V,0.9528008298755186,0.999455930359086,0.9103072348860257
1a,VI,0.9522573949143747,0.9994553376906318,0.9093161546085233
1a,VII,0.9356879283078545,0.9994369369369369,0.8795837462834489
1a,VIII,0.9356879283078545,0.9994369369369369,0.8795837462834489
1a,IX,0.9334389857369255,0.9994343891402715,0.875619425173439
1b,I,0.9940209267563528,0.999498997995992,0.9886025768087215
1b,II,0.9940209267563528,0.999498997995992,0.9886025768087215
1b,III,0.9922635388070876,0.9994972347913524,0.9851337958374629
1b,IV,0.9922635388070876,0.9994972347913524,0.9851337958374629
1b,V,0.9922635388070876,0.9994972347913524,0.9851337958374629
1b,VI,0.9910044977511244,0.9994959677419355,0.9826560951437067
1b,VII,0.9910044977511244,0.9994959677419355,0.9826560951437067
1b,VIII,0.9917602996254682,0.9994967287367891,0.9841427155599604
1b,IX,0.9912565575818136,0.9994962216624685,0.9831516352824579
1c,I,0.9942714819427149,0.99949924887331,0.9890981169474727
1c,II,0.9942714819427149,0.99949924887331,0.9890981169474727
1c,III,0.9937702466982308,0.9994987468671679,0.9881070366699702
1c,IV,0.9920119820269596,0.9994969818913481,0.9846382556987116
1c,V,0.9910044977511244,0.9994959677419355,0.9826560951437067
1c,VI,0.9902475618904726,0.9994952044422009,0.981169474727453
1c,VII,0.8186073727325922,0.9992857142857143,0.6932606541129831
1c,VIII,0.818952910207663,0.9992862241256245,0.6937561942517344
1c,IX,0.8035555555555556,0.9992630803242447,0.6719524281466799
1d,I,0.9937702466982308,0.9994987468671679,0.9881070366699702
1d,II,0.9942714819427149,0.99949924887331,0.9890981169474727
1d,III,0.9930174563591022,0.9994979919678715,0.9866204162537165
1d,IV,0.9912565575818136,0.9994962216624685,0.9831516352824579
1d,V,0.9910044977511244,0.9994959677419355,0.9826560951437067
1d,VI,0.9910044977511244,0.9994959677419355,0.9826560951437067
1d,VII,0.9907523119220195,0.9994957135653051,0.9821605550049554
1d,VIII,0.9907523119220195,0.9994957135653051,0.9821605550049554
1d,IX,0.9907523119220195,0.9994957135653051,0.9821605550049554
2a,I,0.9937702466982308,0.9994987468671679,0.9881070366699702
2a,II,0.9821023443408117,0.9994869163673679,0.9653121902874133
2a,III,0.8726968174204355,0.9993606138107417,0.7745292368681863
2a,IV,0.8466152527849186,0.9993256911665542,0.734390485629336
2a,V,0.8426483233018057,0.9993201903467029,0.7284440039643211
2a,VI,0.794266945356823,0.9992486851990984,0.6590683845391476
2a,VII,0.7563905143209116,0.9991863303498779,0.6085232903865213
2a,VIII,0.75139146567718,0.9991776315789473,0.6020812685827552
2a,IX,0.7400936037441498,0.9991575400168492,0.5877106045589693
2b,I,0.9935194416749751,0.9994984954864594,0.987611496531219
2b,II,0.9821023443408117,0.9994869163673679,0.9653121902874133
2b,III,0.926063829787234,0.9994259471871412,0.8627353815659068
2b,IV,0.9500780031201248,0.99945295404814,0.9053518334985133
2b,V,0.859966120835686,0.9993438320209974,0.7547076313181368
2b,VI,0.854468085106383,0.9993364299933643,0.7462834489593657
2b,VII,0.7189086294416244,0.9991181657848325,0.5614469772051536
2b,VIII,0.7156488549618321,0.9991119005328597,0.5574826560951437
2b,IX,0.702858978477353,0.9990867579908675,0.5421209117938554
