Group,Step,F1,Precision,Recall
1a,I,0.9998703487618307,1.0,0.9997407311381903
1a,II,0.9998703487618307,1.0,0.9997407311381903
1a,III,0.9998703487618307,1.0,0.9997407311381903
1a,IV,0.9998703487618307,1.0,0.9997407311381903
1a,V,0.9998703487618307,1.0,0.9997407311381903
1a,VI,0.9998703487618307,1.0,0.9997407311381903
1a,VII,0.9998703487618307,1.0,0.9997407311381903
1a,VIII,0.9998703487618307,1.0,0.9997407311381903
1a,IX,0.9998703487618307,1.0,0.9997407311381903
1b,I,1.0,1.0,1.0
1b,II,1.0,1.0,1.0
1b,III,1.0,1.0,1.0
1b,IV,1.0,1.0,1.0
1b,V,1.0,1.0,1.0
1b,VI,1.0,1.0,1.0
1b,VII,1.0,1.0,1.0
1b,VIII,1.0,1.0,1.0
1b,IX,1.0,1.0,1.0
1c,I,1.0,1.0,1.0
1c,II,1.0,1.0,1.0
1c,III,1.0,1.0,1.0
1c,IV,1.0,1.0,1.0
1c,V,1.0,1.0,1.0
1c,VI,1.0,1.0,1.0
1c,VII,1.0,1.0,1.0
1c,VIII,1.0,1.0,1.0
1c,IX,1.0,1.0,1.0
1d,I,1.0,1.0,1.0
1d,II,1.0,1.0,1.0
1d,III,1.0,1.0,1.0
1d,IV,1.0,1.0,1.0
1d,V,1.0,1.0,1.0
1d,VI,1.0,1.0,1.0
1d,VII,1.0,1.0,1.0
1d,VIII,1.0,1.0,1.0
1d,IX,1.0,1.0,1.0
2a,I,0.9998703487618307,1.0,0.9997407311381903
2a,II,0.9998703487618307,1.0,0.9997407311381903
2a,III,0.9998703487618307,1.0,0.9997407311381903
2a,IV,0.9998703487618307,1.0,0.9997407311381903
2a,V,0.9997406639004149,1.0,0.9994814622763806
2a,VI,0.9997406639004149,1.0,0.9994814622763806
2a,VII,0.9997406639004149,1.0,0.9994814622763806
2a,VIII,0.9997406639004149,1.0,0.9994814622763806
2a,IX,0.9998703487618307,1.0,0.9997407311381903
2b,I,0.9998703487618307,1.0,0.9997407311381903
2b,II,0.9998703487618307,1.0,0.9997407311381903
2b,III,0.9998703487618307,1.0,0.9997407311381903
2b,IV,0.9998703487618307,1.0,0.9997407311381903
2b,V,0.9998703487618307,1.0,0.9997407311381903
2b,VI,1.0,1.0,1.0
2b,VII,1.0,1.0,1.0
2b,VIII,1.0,1.0,1.0
2b,IX,1.0,1.0,1.0
2c,I,0.9997406639004149,1.0,0.9994814622763806
2c,II,0.9997406639004149,1.0,0.9994814622763806
2c,III,0.9997406639004149,1.0,0.9994814622763806
2c,IV,0.9997406639004149,1.0,0.9994814622763806
2c,V,0.9997406639004149,1.0,0.9994814622763806
2c,VI,0.9997406639004149,1.0,0.9994814622763806
2c,VII,0.9997406639004149,1.0,0.9994814622763806
2c,VIII,0.9997406639004149,1.0,0.9994814622763806
2c,IX,0.9997406639004149,1.0,0.9994814622763806
2d,I,1.0,1.0,1.0
2d,II,1.0,1.0,1.0
2d,III,1.0,1.0,1.0
2d,IV,1.0,1.0,1.0
2d,V,1.0,1.0,1.0
2d,VI,1.0,1.0,1.0
2d,VII,1.0,1.0,1.0
2d,VIII,1.0,1.0,1.0
2d,IX,1.0,1.0,1.0
2e,I,1.0,1.0,1.0
2e,II,1.0,1.0,1.0
2e,III,1.0,1.0,1.0
2e,IV,1.0,1.0,1.0
2e,V,1.0,1.0,1.0
2e,VI,1.0,1.0,1.0
2e,VII,1.0,1.0,1.0
2e,VIII,1.0,1.0,1.0
2e,IX,1.0,1.0,1.0
2f,I,1.0,1.0,1.0
2f,II,1.0,1.0,1.0
2f,III,1.0,1.0,1.0
2f,IV,1.0,1.0,1.0
2f,V,1.0,1.0,1.0
2f,VI,1.0,1.0,1.0
2f,VII,1.0,1.0,1.0
2f,VIII,1.0,1.0,1.0
2f,IX,1.0,1.0,1.0
3a,I,0.9998703487618307,1.0,0.9997407311381903
3a,II,0.9998703487618307,1.0,0.9997407311381903
3a,III,0.9998703487618307,1.0,0.9997407311381903
3a,IV,0.9998703487618307,1.0,0.9997407311381903
3a,V,0.9997406639004149,1.0,0.9994814622763806
3a,VI,0.9997406639004149,1.0,0.9994814622763806
3a,VII,0.9997406639004149,1.0,0.9994814622763806
3a,VIII,0.9997406639004149,1.0,0.9994814622763806
3a,IX,1.0,1.0,1.0
3b,I,0.9997406639004149,1.0,0.9994814622763806
3b,II,0.9997406639004149,1.0,0.9994814622763806
3b,III,0.9998703487618307,1.0,0.9997407311381903
3b,IV,0.9998703487618307,1.0,0.9997407311381903
3b,V,0.9997406639004149,1.0,0.9994814622763806
3b,VI,0.9997406639004149,1.0,0.9994814622763806
3b,VII,0.9997406639004149,1.0,0.9994814622763806
3b,VIII,0.9997406639004149,1.0,0.9994814622763806
3b,IX,0.9998703487618307,1.0,0.9997407311381903
3c,I,0.9997406639004149,1.0,0.9994814622763806
3c,II,0.9997406639004149,1.0,0.9994814622763806
3c,III,0.9998703487618307,1.0,0.9997407311381903
3c,IV,0.9998703487618307,1.0,0.9997407311381903
3c,V,0.9998703487618307,1.0,0.9997407311381903
3c,VI,1.0,1.0,1.0
3c,VII,1.0,1.0,1.0
3c,VIII,1.0,1.0,1.0
3c,IX,1.0,1.0,1.0
3d,I,1.0,1.0,1.0
3d,II,1.0,1.0,1.0
3d,III,1.0,1.0,1.0
3d,IV,1.0,1.0,1.0
3d,V,1.0,1.0,1.0
3d,VI,1.0,1.0,1.0
3d,VII,1.0,1.0,1.0
3d,VIII,1.0,1.0,1.0
3d,IX,1.0,1.0,1.0
