Group,Step,F1,Precision,Recall
1a,I,0.9904997934737712,0.9988891974451541,0.9822501365374112
1a,II,0.9904997934737712,0.9988891974451541,0.9822501365374112
1a,III,0.9680506685432794,0.998838222480395,0.9391043145821956
1a,IV,0.9673239436619718,0.9988365328679465,0.9377389404696886
1a,V,0.9665961945031712,0.9988348383338188,0.9363735663571818
1a,VI,0.96,0.9988193624557261,0.9240851993446204
1a,VII,0.9595572584078331,0.9988183161004431,0.9232659748771164
1a,VIII,0.959409594095941,0.9988179669030733,0.922992900054615
1a,IX,0.959409594095941,0.9988179669030733,0.922992900054615
1b,I,0.99644128113879,0.9989023051591658,0.99399235390497
1b,II,0.9963039014373717,0.9989020038429866,0.9937192790824686
1b,III,0.99644128113879,0.9989023051591658,0.99399235390497
1b,IV,0.9960290291660961,0.9989014007140895,0.9931731294374658
1b,V,0.9931337544630596,0.9988950276243094,0.9874385581649372
1b,VI,0.9950657894736842,0.9988992845349477,0.9912616056799564
1b,VII,0.9945145364783324,0.9988980716253444,0.9901693063899508
1b,VIII,0.9925803792250618,0.9988938053097345,0.9863462588749318
1b,IX,0.9925803792250618,0.9988938053097345,0.9863462588749318
1c,I,0.99644128113879,0.9989023051591658,0.99399235390497
1c,II,0.99644128113879,0.9989023051591658,0.99399235390497
1c,III,0.9958915365653246,0.9989010989010989,0.9929000546149646
1c,IV,0.9946524064171123,0.9988983751032773,0.9904423812124522
1c,V,0.9667418263810598,0.9988351776354106,0.9366466411796832
1c,VI,0.9663048075567461,0.9988341591372778,0.9358274167121792
1c,VII,0.9663048075567461,0.9988341591372778,0.9358274167121792
1c,VIII,0.9725336322869955,0.9988485895221646,0.9475696340797378
1c,IX,0.9725336322869955,0.9988485895221646,0.9475696340797378
1d,I,0.9958915365653246,0.9989010989010989,0.9929000546149646
1d,II,0.9958915365653246,0.9989010989010989,0.9929000546149646
1d,III,0.9958915365653246,0.9989010989010989,0.9929000546149646
1d,IV,0.9958915365653246,0.9989010989010989,0.9929000546149646
1d,V,0.9957540063005068,0.9989007969222314,0.9926269797924632
1d,VI,0.9957540063005068,0.9989007969222314,0.9926269797924632
1d,VII,0.9957540063005068,0.9989007969222314,0.9926269797924632
1d,VIII,0.9957540063005068,0.9989007969222314,0.9926269797924632
1d,IX,0.9957540063005068,0.9989007969222314,0.9926269797924632
2a,I,0.9906387665198237,0.9988895058300944,0.9825232113599126
2a,II,0.9903607821536766,0.9988888888888889,0.9819770617149098
2a,III,0.9616201671151395,0.9988231832892027,0.9270890223921354
2a,IV,0.9595572584078331,0.9988183161004431,0.9232659748771164
2a,V,0.9551090209491235,0.9988077496274218,0.9150737302020754
2a,VI,0.9450359712230216,0.9987834549878345,0.8967777170944838
2a,VII,0.9435158501440922,0.9987797437461867,0.8940469688694702
2a,VIII,0.9468543521976444,0.9987878787878788,0.9000546149645002
2a,IX,0.9268149882903981,0.9987381703470032,0.8645548880393228
2b,I,0.9903607821536766,0.9988888888888889,0.9819770617149098
2b,II,0.9900826446280991,0.9988882712618121,0.9814309120699072
2b,III,0.967032967032967,0.9988358556461001,0.937192790824686
2b,IV,0.9598524613420343,0.998819013876587,0.923812124522119
2b,V,0.9582267689684569,0.9988151658767772,0.920808301474604
2b,VI,0.9580787267301407,0.9988148148148148,0.9205352266521026
2b,VII,0.9573378839590444,0.998813056379822,0.9191698525395958
2b,VIII,0.9486664754803557,0.998792270531401,0.9033315128345166
2b,IX,0.9483648881239243,0.9987915407854985,0.902785363189514
2c,I,0.9967159277504105,0.9989029072956664,0.9945385035499726
2c,II,0.9957540063005068,0.9989007969222314,0.9926269797924632
2c,III,0.9738278516445067,0.9988515647430376,0.9500273074822502
2c,IV,0.9723896285914506,0.9988482579902102,0.9472965592572364
2c,V,0.9625017687844913,0.9988252569750367,0.9287274713271436
2c,VI,0.9491185323204816,0.9987933634992459,0.9041507373020208
2c,VII,0.9494196876343316,0.998794091046126,0.9046968869470234
2c,VIII,0.948214029550997,0.9987911755817468,0.9025122883670126
2c,IX,0.948214029550997,0.9987911755817468,0.9025122883670126
2d,I,0.9963039014373717,0.9989020038429866,0.9937192790824686
2d,II,0.9963039014373717,0.9989020038429866,0.9937192790824686
2d,III,0.9956164383561644,0.9989004947773502,0.9923539049699618
2d,IV,0.9867330016583747,0.9988808058198098,0.9748771163298744
2d,V,0.9664505215675219,0.9988344988344988,0.9361004915346806
2d,VI,0.9660132562403047,0.9988334791484398,0.9352812670671764
2d,VII,0.9746888547056356,0.9988535396961881,0.9516657564172584
2d,VIII,0.9712361442402133,0.9988455988455989,0.9451119606772256
2d,IX,0.9697906421244906,0.9988422575976845,0.942381212452212
2e,I,0.9957540063005068,0.9989007969222314,0.9926269797924632
2e,II,0.9957540063005068,0.9989007969222314,0.9926269797924632
2e,III,0.9957540063005068,0.9989007969222314,0.9926269797924632
2e,IV,0.9952035082910785,0.9988995873452545,0.9915346805024576
2e,V,0.9921649484536083,0.9988928867976751,0.9855270344074276
2e,VI,0.9945145364783324,0.9988980716253444,0.9901693063899508
2e,VII,0.9893866299104066,0.9988867241859171,0.9800655379574004
2e,VIII,0.9812421842434348,0.9988684582743989,0.9642271982523212
2e,IX,0.9806756568886418,0.9988671764372699,0.9631348989623156
2f,I,0.9958915365653246,0.9989010989010989,0.9929000546149646
2f,II,0.9958915365653246,0.9989010989010989,0.9929000546149646
2f,III,0.9956164383561644,0.9989004947773502,0.9923539049699618
2f,IV,0.9946524064171123,0.9988983751032773,0.9904423812124522
2f,V,0.9738278516445067,0.9988515647430376,0.9500273074822502
2f,VI,0.9732530457919059,0.9988502443230813,0.9489350081922446
2f,VII,0.973396807616914,0.9988505747126437,0.949208083014746
2f,VIII,0.9917491749174917,0.9988919667590028,0.9847078099399236
2f,IX,0.9917491749174917,0.9988919667590028,0.9847078099399236
3a,I,0.9900826446280991,0.9988882712618121,0.9814309120699072
3a,II,0.9902217325437268,0.9988885801611559,0.9817039868924086
3a,III,0.9604423649510846,0.998820406959599,0.9249044238121246
3a,IV,0.959409594095941,0.9988179669030733,0.922992900054615
3a,V,0.9542148053059478,0.9988056136160047,0.9134352812670672
3a,VI,0.9507727532913566,0.9987973541791942,0.9071545603495358
3a,VII,0.955406753098732,0.9988084599344653,0.915619879847078
3a,VIII,0.9442764578833693,0.9987816021931161,0.895412342981977
3a,IX,0.9242957746478874,0.9987317691819911,0.860185690879301
3b,I,0.9967159277504105,0.9989029072956664,0.9945385035499726
3b,II,0.9954788327168105,0.9989001924663184,0.9920808301474604
3b,III,0.9673239436619718,0.9988365328679465,0.9377389404696886
3b,IV,0.9639677829588809,0.9988286969253294,0.9314582195521572
3b,V,0.9370832125253696,0.9987639060568603,0.8825778263244128
3b,VI,0.9387755102040817,0.9987680936248845,0.885581649371928
3b,VII,0.9369290996085254,0.9987635239567233,0.8823047515019116
3b,VIII,0.9330616996507567,0.9987538940809969,0.8754778809393774
3b,IX,0.9288531775018262,0.9987433239082626,0.8681048607318406
3c,I,0.996578623237991,0.9989026063100137,0.9942654287274714
3c,II,0.9954788327168105,0.9989001924663184,0.9920808301474604
3c,III,0.9735405291894162,0.9988509049123815,0.9494811578372474
3c,IV,0.9661590524534687,0.9988338192419826,0.9355543418896778
3c,V,0.96,0.9988193624557261,0.9240851993446204
3c,VI,0.9616201671151395,0.9988231832892027,0.9270890223921354
3c,VII,0.9614730878186969,0.9988228369629194,0.926815947569634
3c,VIII,0.9528706083976007,0.9988023952095808,0.9109776078645548
3c,IX,0.9525714285714286,0.9988016776512882,0.9104314582195522
3d,I,0.9957540063005068,0.9989007969222314,0.9926269797924632
3d,II,0.9957540063005068,0.9989007969222314,0.9926269797924632
3d,III,0.994928032899246,0.9988989815579411,0.990988530857455
3d,IV,0.9863127333056823,0.9988798655838701,0.9740578918623702
3d,V,0.965721540414727,0.9988327983659178,0.9347351174221736
3d,VI,0.9660132562403047,0.9988334791484398,0.9352812670671764
3d,VII,0.974258533855624,0.9988525530694206,0.9508465319497542
3d,VIII,0.9667418263810598,0.9988351776354106,0.9366466411796832
3d,IX,0.9460974557999138,0.9987860394537178,0.8986892408519934
4a,I,0.99644128113879,0.9989023051591658,0.99399235390497
4a,II,0.9953411893669498,0.9988998899889989,0.991807755324959
4a,III,0.967032967032967,0.9988358556461001,0.937192790824686
4a,IV,0.9638213680045223,0.9988283538371412,0.931185144729656
4a,V,0.9393895559091566,0.9987696093509689,0.8866739486619334
4a,VI,0.9396963123644252,0.9987703658161697,0.8872200983069362
4a,VII,0.9378531073446328,0.9987658130206726,0.8839432004369198
4a,VIII,0.9307277234942395,0.9987480438184664,0.871381758601857
4a,IX,0.9193809874723655,0.9987191802753762,0.8517203713817586
