Group,Step,F1,Precision,Recall
1a,I,0.9973114838048905,1.0,0.9946373850868233
1a,II,0.9973114838048905,1.0,0.9946373850868233
1a,III,0.9973114838048905,1.0,0.9946373850868233
1a,IV,0.9973114838048905,1.0,0.9946373850868233
1a,V,0.9973114838048905,1.0,0.9946373850868233
1a,VI,0.9973114838048905,1.0,0.9946373850868233
1a,VII,0.9973114838048905,1.0,0.9946373850868233
1a,VIII,0.9973114838048905,1.0,0.9946373850868233
1a,IX,0.9973114838048905,1.0,0.9946373850868233
1b,I,0.9991054313099041,1.0,0.9982124616956077
1b,II,0.9991054313099041,1.0,0.9982124616956077
1b,III,0.9955110940105169,1.0,0.9910623084780388
1b,IV,0.9921503024063827,1.0,0.9844228804902962
1b,V,0.9913715389568577,1.0,0.9828907048008172
1b,VI,0.9850978359466114,1.0,0.9706332992849847
1b,VII,0.9850978359466114,1.0,0.9706332992849847
1b,VIII,0.9850978359466114,1.0,0.9706332992849847
1b,IX,0.9850978359466114,1.0,0.9706332992849847
1c,I,0.9991054313099041,1.0,0.9982124616956077
1c,II,0.9991054313099041,1.0,0.9982124616956077
1c,III,0.9955110940105169,1.0,0.9910623084780388
1c,IV,0.9921503024063827,1.0,0.9844228804902962
1c,V,0.992020592020592,1.0,0.984167517875383
1c,VI,0.9918908482430171,1.0,0.9839121552604698
1c,VII,0.9917610710607621,1.0,0.9836567926455567
1c,VIII,0.9917610710607621,1.0,0.9836567926455567
1c,IX,0.9917610710607621,1.0,0.9836567926455567
1d,I,0.9991054313099041,1.0,0.9982124616956077
1d,II,0.9991054313099041,1.0,0.9982124616956077
1d,III,0.9991054313099041,1.0,0.9982124616956077
1d,IV,0.9931867849337961,1.0,0.9864657814096016
1d,V,0.9931867849337961,1.0,0.9864657814096016
1d,VI,0.9931867849337961,1.0,0.9864657814096016
1d,VII,0.9931867849337961,1.0,0.9864657814096016
1d,VIII,0.9931867849337961,1.0,0.9864657814096016
1d,IX,0.9931867849337961,1.0,0.9864657814096016
2a,I,0.9915014164305949,1.0,0.9831460674157303
2a,II,0.9915014164305949,1.0,0.9831460674157303
2a,III,0.9873286785621929,1.0,0.9749744637385087
2a,IV,0.979410998175658,1.0,0.9596527068437181
2a,V,0.985360798030833,1.0,0.9711440245148111
