Group,Step,F1,Precision,Recall
1a,I,0.994076319052211,0.999722914934885,0.9884931506849315
1a,II,0.993937723890879,0.9997228381374723,0.9882191780821917
1a,III,0.9893425605536332,0.9997202797202798,0.9791780821917808
1a,IV,0.9897620365246265,0.9997205142537731,0.98
1a,V,0.9897620365246265,0.9997205142537731,0.98
1a,VI,0.9883624272651704,0.9997197309417041,0.9772602739726027
1a,VII,0.9866777685262281,0.999718785151856,0.9739726027397261
1a,VIII,0.9866777685262281,0.999718785151856,0.9739726027397261
1a,IX,0.9866777685262281,0.999718785151856,0.9739726027397261
1b,I,0.9976664378860672,0.9997248968363136,0.9956164383561644
1b,II,0.9978040076859731,0.9997249724972497,0.9958904109589041
1b,III,0.9972535017852239,0.9997246696035242,0.9947945205479453
1b,IV,0.996978021978022,0.9997245179063361,0.9942465753424657
1b,V,0.9924106526838692,0.9997219905476786,0.9852054794520548
1b,VI,0.9942148760330578,0.9997229916897507,0.9887671232876712
1b,VII,0.9957364874157613,0.9997238331952499,0.9917808219178083
1b,VIII,0.9950454170107349,0.9997234513274337,0.9904109589041096
1b,IX,0.9949070887818307,0.9997233748271093,0.9901369863013698
1c,I,0.9975288303130149,0.999724821133737,0.9953424657534247
1c,II,0.9976664378860672,0.9997248968363136,0.9956164383561644
1c,III,0.9972535017852239,0.9997246696035242,0.9947945205479453
1c,IV,0.9967023907666942,0.9997243660418964,0.9936986301369863
1c,V,0.9960126495256428,0.9997239856472536,0.9923287671232877
1c,VI,0.9921325051759834,0.9997218358831711,0.9846575342465753
1c,VII,0.9905999447055571,0.9997209821428571,0.9816438356164383
1c,VIII,0.9896222498962225,0.9997204361196533,0.9797260273972602
1c,IX,0.9919933738266151,0.9997217584863661,0.9843835616438357
1d,I,0.9975288303130149,0.999724821133737,0.9953424657534247
1d,II,0.9942148760330578,0.9997229916897507,0.9887671232876712
1d,III,0.9921325051759834,0.9997218358831711,0.9846575342465753
1d,IV,0.9912971404890178,0.9997213708553915,0.983013698630137
1d,V,0.991157778391821,0.999721293199554,0.9827397260273972
1d,VI,0.9866777685262281,0.999718785151856,0.9739726027397261
1d,VII,0.9866777685262281,0.999718785151856,0.9739726027397261
1d,VIII,0.9866777685262281,0.999718785151856,0.9739726027397261
1d,IX,0.9866777685262281,0.999718785151856,0.9739726027397261
2a,I,0.9937990905332782,0.9997227612974772,0.9879452054794521
2a,II,0.9932441748242107,0.9997224535109631,0.9868493150684932
2a,III,0.9741500421466704,0.9997116493656286,0.9498630136986301
2a,IV,0.9753017120404154,0.9997123130034522,0.952054794520548
2a,V,0.9761637689287718,0.9997128087306146,0.9536986301369863
2a,VI,0.9729957805907173,0.9997109826589595,0.9476712328767123
2a,VII,0.9729957805907173,0.9997109826589595,0.9476712328767123
2a,VIII,0.9708245243128965,0.9997097242380262,0.9435616438356165
2a,IX,0.9699534490055015,0.9997092177958709,0.941917808219178
2b,I,0.994076319052211,0.999722914934885,0.9884931506849315
2b,II,0.993937723890879,0.9997228381374723,0.9882191780821917
2b,III,0.9735732358729267,0.9997113163972287,0.9487671232876712
2b,IV,0.9722730471498945,0.9997105643994211,0.9463013698630137
2b,V,0.9708245243128965,0.9997097242380262,0.9435616438356165
2b,VI,0.9698081264108352,0.9997091332169866,0.9416438356164384
2b,VII,0.9630786708321499,0.9997051886792453,0.929041095890411
2b,VIII,0.962046908315565,0.9997045790251108,0.9271232876712329
2b,IX,0.9607173356105893,0.9997037914691943,0.9246575342465754
2c,I,0.9937990905332782,0.9997227612974772,0.9879452054794521
2c,II,0.9918542040590915,0.9997216810464793,0.9841095890410959
2c,III,0.9729957805907173,0.9997109826589595,0.9476712328767123
2c,IV,0.974726200505476,0.9997119815668203,0.950958904109589
2c,V,0.974438202247191,0.9997118155619596,0.9504109589041095
2c,VI,0.9573040125660431,0.9997017596182524,0.9183561643835616
2c,VII,0.6944394779188271,0.9994853319608852,0.5320547945205479
2c,VIII,0.694206008583691,0.9994850669412977,0.5317808219178082
2c,IX,0.694206008583691,0.9994850669412977,0.5317808219178082
2d,I,0.9978040076859731,0.9997249724972497,0.9958904109589041
2d,II,0.9978040076859731,0.9997249724972497,0.9958904109589041
2d,III,0.9962886597938144,0.9997241379310344,0.9928767123287672
2d,IV,0.9961506736321144,0.9997240618101545,0.9926027397260274
2d,V,0.990460389879718,0.9997209042701647,0.9813698630136987
2d,VI,0.9890627163228576,0.9997201231458158,0.9786301369863014
2d,VII,0.9876611673367531,0.9997193376368229,0.9758904109589042
2d,VIII,0.9859741702541314,0.9997183891861448,0.9726027397260274
2d,IX,0.9885025626818119,0.9997198094704399,0.9775342465753425
2e,I,0.9976664378860672,0.9997248968363136,0.9956164383561644
2e,II,0.9937990905332782,0.9997227612974772,0.9879452054794521
2e,III,0.9790268456375839,0.9997144488863506,0.9591780821917808
2e,IV,0.9774541380758998,0.9997135491263248,0.9561643835616438
2e,V,0.9757329218684248,0.9997125610807703,0.9528767123287671
2e,VI,0.975445488985548,0.999712395743457,0.9523287671232876
2e,VII,0.975445488985548,0.999712395743457,0.9523287671232876
2e,VIII,0.970243971231138,0.999709386806161,0.9424657534246575
2e,IX,0.9241196404891705,0.999681224099458,0.8591780821917808
2f,I,0.9975288303130149,0.999724821133737,0.9953424657534247
2f,II,0.9972535017852239,0.9997246696035242,0.9947945205479453
2f,III,0.9785984053713807,0.9997142040583024,0.9583561643835616
2f,IV,0.9773109243697479,0.9997134670487106,0.9558904109589041
2f,V,0.9753017120404154,0.9997123130034522,0.952054794520548
2f,VI,0.9722730471498945,0.9997105643994211,0.9463013698630137
2f,VII,0.9780265920223933,0.9997138769670959,0.9572602739726027
2f,VIII,0.9787412587412587,0.9997142857142857,0.9586301369863014
2f,IX,0.9818739542665923,0.9997160704145373,0.9646575342465753
3a,I,0.9937990905332782,0.9997227612974772,0.9879452054794521
3a,II,0.9931053502482073,0.9997223764575236,0.9865753424657534
3a,III,0.9734289329396879,0.9997112330349408,0.9484931506849315
3a,IV,0.9735732358729267,0.9997113163972287,0.9487671232876712
3a,V,0.9719836688723075,0.9997103967564437,0.9457534246575342
