Group,Step,F1,Precision,Recall
1a,I,0.97673209411153,0.9902477596204533,0.9635804052321107
1a,II,0.9751334461658638,0.9902168164992068,0.9605026929982047
1a,III,0.9299986407503058,0.9893001735106999,0.8774044626827392
1a,IV,0.9299986407503058,0.9893001735106999,0.8774044626827392
1a,V,0.9299986407503058,0.9893001735106999,0.8774044626827392
1a,VI,0.9299986407503058,0.9893001735106999,0.8774044626827392
1a,VII,0.9298531810766721,0.989297078391669,0.877147986663247
1a,VIII,0.9270819135886602,0.9892379290285049,0.8722749422928956
1a,IX,0.9283964062074599,0.9892660284305193,0.8745832264683252
1b,I,0.9849129593810445,0.9904045643153527,0.9794819184406258
1b,II,0.9849129593810445,0.9904045643153527,0.9794819184406258
1b,III,0.9849129593810445,0.9904045643153527,0.9794819184406258
1b,IV,0.9841269841269841,0.9903896103896104,0.9779430623236728
1b,V,0.9741985926505082,0.9901986754966887,0.9587073608617595
1b,VI,0.9712493465760585,0.9901412203570477,0.9530648884329315
1b,VII,0.9705766967438211,0.990128068303095,0.9517825083354706
1b,VIII,0.9725920125293657,0.9901674196120117,0.9556296486278533
1b,IX,0.9508196721311475,0.9897336293007769,0.9148499615285971
1c,I,0.9849129593810445,0.9904045643153527,0.9794819184406258
1c,II,0.9849129593810445,0.9904045643153527,0.9794819184406258
1c,III,0.9849129593810445,0.9904045643153527,0.9794819184406258
1c,IV,0.9842580645161291,0.9903921059465074,0.9781995383431649
1c,V,0.983733539891557,0.9903821159344944,0.9771736342651962
1c,VI,0.9839958699019101,0.9903871135359834,0.9776865863041806
1c,VII,0.9839958699019101,0.9903871135359834,0.9776865863041806
1c,VIII,0.9842580645161291,0.9903921059465074,0.9781995383431649
1c,IX,0.983733539891557,0.9903821159344944,0.9771736342651962
1d,I,0.9841269841269841,0.9903896103896104,0.9779430623236728
1d,II,0.987524115755627,0.990454076367389,0.9846114388304693
1d,III,0.9669291338582677,0.9900564364418167,0.9448576558091818
1d,IV,0.9669291338582677,0.9900564364418167,0.9448576558091818
1d,V,0.9669291338582677,0.9900564364418167,0.9448576558091818
1d,VI,0.9669291338582677,0.9900564364418167,0.9448576558091818
1d,VII,0.9669291338582677,0.9900564364418167,0.9448576558091818
1d,VIII,0.9748665190780049,0.9902116402116402,0.9599897409592203
1d,IX,0.9748665190780049,0.9902116402116402,0.9599897409592203
2a,I,0.9751334461658638,0.9902168164992068,0.9605026929982047
2a,II,0.975,0.9902142290399365,0.9602462169787125
2a,III,0.9298531810766721,0.989297078391669,0.877147986663247
2a,IV,0.9298531810766721,0.989297078391669,0.877147986663247
2a,V,0.9225294278675061,0.9891400058702671,0.8643241856886381
2a,VI,0.9216438356164384,0.9891208468097619,0.8627853295716851
2a,VII,0.920164609053498,0.9890887643762902,0.8602205693767633
2a,VIII,0.8993288590604027,0.9886258837995696,0.8248268786868428
2a,IX,0.8734974241556954,0.9880220135966332,0.7827648114901257
2b,I,0.97673209411153,0.9902477596204533,0.9635804052321107
2b,II,0.9764659992198674,0.9902426160337553,0.9630674531931265
2b,III,0.9297076818490823,0.9892939814814815,0.8768915106437548
2b,IV,0.9301440608861103,0.9893032668401271,0.8776609387022314
2b,V,0.9566600397614314,0.989851892484915,0.9256219543472686
2b,VI,0.9561066171595279,0.9898407468423943,0.9245960502692998
2b,VII,0.9541650059784775,0.9898015435501654,0.9210053859964094
2b,VIII,0.939940748720711,0.989509498157074,0.8951013080276994
2b,IX,0.8617698091382302,0.9877361617500828,0.7642985380866889
2c,I,0.9884348496530455,0.9904712850888489,0.9864067709669146
2c,II,0.9880447358272272,0.9904639175257732,0.9856373429084381
2c,III,0.8980963045912654,0.988597842835131,0.8227750705309054
2c,IV,0.8988669744020142,0.9886153846153846,0.8240574506283662
2c,V,0.8988669744020142,0.9886153846153846,0.8240574506283662
2c,VI,0.8988669744020142,0.9886153846153846,0.8240574506283662
2c,VII,0.874946405602401,0.988056810845707,0.7850730956655553
2c,VIII,0.8733361957921855,0.9880181347150259,0.7825083354706335
2c,IX,0.8747855917667239,0.9880529544720698,0.7848166196460631
2d,I,0.9849129593810445,0.9904045643153527,0.9794819184406258
2d,II,0.9849129593810445,0.9904045643153527,0.9794819184406258
2d,III,0.9842580645161291,0.9903921059465074,0.9781995383431649
2d,IV,0.9841269841269841,0.9903896103896104,0.9779430623236728
2d,V,0.9713837710701686,0.9901438465636654,0.9533213644524237
2d,VI,0.975,0.9902142290399365,0.9602462169787125
2d,VII,0.9124067421939762,0.9889188379754418,0.84688381636317
2d,VIII,0.9512390087929656,0.9897421680066537,0.9156193895870736
2d,IX,0.9529130087789306,0.989776181265543,0.9186971018209797
2e,I,0.9838647218278043,0.9903846153846154,0.9774301102846884
2e,II,0.987263604785797,0.9904491481672689,0.984098486791485
2e,III,0.9665222528554549,0.9900484131253362,0.9440882277507053
2e,IV,0.9659792460265335,0.9900376952073237,0.9430623236727366
2e,V,0.9530522675887751,0.9897790055248619,0.9189535778404719
2e,VI,0.9522161586583255,0.9897620365246265,0.9174147217235189
2e,VII,0.8942267172355668,0.9885093167701864,0.8163631700436009
2e,VIII,0.8943820224719101,0.9885128841974542,0.8166196460630931
2e,IX,0.9149552033080635,0.9889749702026222,0.851243908694537
2f,I,0.9838647218278043,0.9903846153846154,0.9774301102846884
2f,II,0.987263604785797,0.9904491481672689,0.984098486791485
2f,III,0.9666579154633762,0.99005108900242,0.9443447037701975
2f,IV,0.9662508207485226,0.990043057050592,0.943575275711721
2f,V,0.9596934055768468,0.9899127589967285,0.9312644267760964
2f,VI,0.959830866807611,0.9899155083128918,0.9315209027955886
2f,VII,0.9625724828676858,0.9899701816210356,0.9366504231854321
2f,VIII,0.9629824792517455,0.9899783315276273,0.9374198512439087
2f,IX,0.9760665972944849,0.9902348904724202,0.9622980251346499
3a,I,0.9748665190780049,0.9902116402116402,0.9599897409592203
3a,II,0.975,0.9902142290399365,0.9602462169787125
3a,III,0.9275204359673025,0.989247311827957,0.8730443703513722
3a,IV,0.9275204359673025,0.989247311827957,0.8730443703513722
3a,V,0.9107513491075135,0.9888822115384616,0.8440625801487561
3a,VI,0.9046890218449979,0.9887469586374696,0.833803539369069
3a,VII,0.9037738476535302,0.9887263863497867,0.8322646832521159
3a,VIII,0.8736586063814565,0.9880258899676375,0.7830212875096179
3a,IX,0.8197901049475262,0.986647419704078,0.7012054372916132
3b,I,0.9880447358272272,0.9904639175257732,0.9856373429084381
3b,II,0.987393877025984,0.9904516129032258,0.9843549628109771
3b,III,0.8980963045912654,0.988597842835131,0.8227750705309054
3b,IV,0.8980963045912654,0.988597842835131,0.8227750705309054
3b,V,0.8914237431347698,0.9884447220487196,0.8117466016927417
3b,VI,0.8860902787604358,0.9883207070707071,0.8030264170300077
3b,VII,0.8840374255741423,0.9882725832012679,0.7996922287766094
3b,VIII,0.8699397071490095,0.9879360939028367,0.7771223390612978
3b,IX,0.8504672897196262,0.9874533740250933,0.7468581687612208
3c,I,0.9884348496530455,0.9904712850888489,0.9864067709669146
3c,II,0.987393877025984,0.9904516129032258,0.9843549628109771
3c,III,0.8976333846800169,0.9885872917951881,0.8220056424724288
3c,IV,0.8979420411591769,0.9885943279901356,0.8225185945114132
3c,V,0.8549818181818182,0.9875672043010753,0.7537830212875096
3c,VI,0.8551483420593369,0.987571380584481,0.7540394973070018
3c,VII,0.8544819557625145,0.9875546585940128,0.753013593229033
3c,VIII,0.8489545255154263,0.9874149659863946,0.7445498845857912
3c,IX,0.8437132784958872,0.9872808525266414,0.7365991279815337
3d,I,0.9838647218278043,0.9903846153846154,0.9774301102846884
