Group,Step,F1,Precision,Recall
1a,I,0.7111026471148353,0.9946723494938732,0.55334914048607
1a,II,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,III,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,IV,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,V,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,VI,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,VII,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,VIII,0.7235005658242173,0.9948132780082988,0.5684647302904564
1a,IX,0.7235005658242173,0.9948132780082988,0.5684647302904564
1b,I,0.8886699507389163,0.9963181148748159,0.8020154119739182
1b,II,0.8886699507389163,0.9963181148748159,0.8020154119739182
1b,III,0.9825616355983163,0.9969493593654668,0.968583283935981
1b,IV,0.9825616355983163,0.9969493593654668,0.968583283935981
1b,V,0.9822556390977444,0.996947496947497,0.967990515708358
1b,VI,0.9819494584837545,0.9969456322541234,0.967397747480735
1b,VII,0.9819494584837545,0.9969456322541234,0.967397747480735
1b,VIII,0.9819494584837545,0.9969456322541234,0.967397747480735
1b,IX,0.9819494584837545,0.9969456322541234,0.967397747480735
1c,I,0.8886699507389163,0.9963181148748159,0.8020154119739182
1c,II,0.8886699507389163,0.9963181148748159,0.8020154119739182
1c,III,0.9684499314128944,0.996862252902416,0.9416123295791345
1c,IV,0.9822556390977444,0.996947496947497,0.967990515708358
1c,V,0.9822556390977444,0.996947496947497,0.967990515708358
1c,VI,0.9822556390977444,0.996947496947497,0.967990515708358
1c,VII,0.9821025718153106,0.9969465648854962,0.9676941315945465
1c,VIII,0.9822556390977444,0.996947496947497,0.967990515708358
1c,IX,0.9822556390977444,0.996947496947497,0.967990515708358
1d,I,0.9665597801191022,0.9968503937007874,0.9380557202133966
1d,II,0.9665597801191022,0.9968503937007874,0.9380557202133966
1d,III,0.9667175572519084,0.9968513853904282,0.9383521043272081
1d,IV,0.966875286215845,0.9968523764557758,0.9386484884410196
1d,V,0.8892171344165436,0.9963221772710555,0.8029045643153527
1d,VI,0.8892171344165436,0.9963221772710555,0.8029045643153527
1d,VII,0.8892171344165436,0.9963221772710555,0.8029045643153527
1d,VIII,0.8888524051879823,0.9963194700036805,0.8023117960877297
1d,IX,0.8886699507389163,0.9963181148748159,0.8020154119739182
2a,I,0.5685279187817259,0.9926144756277696,0.3983402489626556
