Group,Step,F1,Precision,Recall
1a,I,0.9937560038424592,0.9978297564504461,0.9897153790959101
1a,II,0.993876815944291,0.9978302796528448,0.9899545563262377
1a,III,0.9937560038424592,0.9978297564504461,0.9897153790959101
1a,IV,0.9930305215092525,0.9978266119294856,0.988280315713944
1a,V,0.9929095060689821,0.9978260869565218,0.9880411384836164
1a,VI,0.9933933933933934,0.9978281853281853,0.988997847404927
1a,VII,0.9933933933933934,0.9978281853281853,0.988997847404927
1a,VIII,0.9933933933933934,0.9978281853281853,0.988997847404927
1a,IX,0.9933933933933934,0.9978281853281853,0.988997847404927
1b,I,0.9972478162019863,0.9978448275862069,0.9966515187754126
1b,II,0.9972478162019863,0.9978448275862069,0.9966515187754126
1b,III,0.9974877377676755,0.9978458592628052,0.9971298732360679
1b,IV,0.9971278123504069,0.9978443113772455,0.996412341545085
1b,V,0.9971278123504069,0.9978443113772455,0.996412341545085
1b,VI,0.9962869804767038,0.9978406909788867,0.9947381009327912
1b,VII,0.9942390782525204,0.9978318477475308,0.9906720880172207
1b,VIII,0.9933933933933934,0.9978281853281853,0.988997847404927
1b,IX,0.9933933933933934,0.9978281853281853,0.988997847404927
1c,I,0.9973677913376405,0.9978453435480009,0.9968906960057402
1c,II,0.9973677913376405,0.9978453435480009,0.9968906960057402
1c,III,0.9973677913376405,0.9978453435480009,0.9968906960057402
1c,IV,0.9972478162019863,0.9978448275862069,0.9966515187754126
1c,V,0.9973677913376405,0.9978453435480009,0.9968906960057402
1c,VI,0.9974877377676755,0.9978458592628052,0.9971298732360679
1c,VII,0.9972478162019863,0.9978448275862069,0.9966515187754126
1c,VIII,0.9974877377676755,0.9978458592628052,0.9971298732360679
1c,IX,0.9968877184582237,0.9978432782171099,0.9959339870844296
1d,I,0.9968877184582237,0.9978432782171099,0.9959339870844296
1d,II,0.9970077797725913,0.9978437949209391,0.9961731643147572
1d,III,0.9966475095785441,0.9978422440661712,0.9954556326237742
1d,IV,0.996166746526114,0.9978401727861771,0.9944989237024635
1d,V,0.9960464837666227,0.9978396543446951,0.9942597464721359
1d,VI,0.9958058717795086,0.9978386167146974,0.9937813920114805
1d,VII,0.9959261921878745,0.9978391356542617,0.9940205692418081
1d,VIII,0.9956855225311602,0.9978380975258228,0.9935422147811528
1d,IX,0.9952038369304557,0.9978360182736234,0.9925855058598422
2a,I,0.9806592871913392,0.9977722772277228,0.9641234154508491
2a,II,0.9801630765486187,0.9977700693756194,0.9631667065295384
2a,III,0.9931515078697585,0.9978271366489618,0.9885194929442717
2a,IV,0.9931515078697585,0.9978271366489618,0.9885194929442717
2a,V,0.9930305215092525,0.9978266119294856,0.988280315713944
2a,VI,0.9920615828722636,0.997822405032664,0.9863668978713227
2a,VII,0.974170645121802,0.9977432296890673,0.9516861994738101
2a,VIII,0.9734166360406713,0.9977398292315419,0.9502511360918441
2a,IX,0.9480291237760482,0.9976221928665786,0.9031332217172925
2b,I,0.9937560038424592,0.9978297564504461,0.9897153790959101
2b,II,0.99363516272367,0.9978292329956585,0.9894762018655824
2b,III,0.99363516272367,0.9978292329956585,0.9894762018655824
2b,IV,0.9935142925774681,0.9978287092882991,0.9892370246352548
2b,V,0.9932724651609803,0.997827661115134,0.9887586701745994
2b,VI,0.9931515078697585,0.9978271366489618,0.9885194929442717
2b,VII,0.9937560038424592,0.9978297564504461,0.9897153790959101
2b,VIII,0.9937560038424592,0.9978297564504461,0.9897153790959101
2b,IX,0.9844886088221038,0.997789240972734,0.9715379095910069
2c,I,0.9927884615384616,0.9978255617298865,0.9878019612532887
2c,II,0.992546285164703,0.9978245105148659,0.9873236067926333
2c,III,0.9908477842003853,0.9978171234537958,0.9839751255680459
2c,IV,0.989387361312108,0.9978107516419362,0.9811049988041138
2c,V,0.9891435464414958,0.9978096860550012,0.9806266443434585
2c,VI,0.9898746383799422,0.997812879708384,0.9820617077254246
2c,VII,0.9898746383799422,0.997812879708384,0.9820617077254246
2c,VIII,0.9898746383799422,0.997812879708384,0.9820617077254246
2c,IX,0.9895092246472929,0.9978112840466926,0.9813441760344416
2d,I,0.9972478162019863,0.9978448275862069,0.9966515187754126
2d,II,0.9972478162019863,0.9978448275862069,0.9966515187754126
2d,III,0.9972478162019863,0.9978448275862069,0.9966515187754126
2d,IV,0.9973677913376405,0.9978453435480009,0.9968906960057402
2d,V,0.9972478162019863,0.9978448275862069,0.9966515187754126
2d,VI,0.9968877184582237,0.9978432782171099,0.9959339870844296
2d,VII,0.9946010797840432,0.997833413577275,0.9913896197082038
2d,VIII,0.9944804415646749,0.997832891885384,0.9911504424778761
2d,IX,0.9830097087378641,0.9977827050997783,0.9686677828270749
2e,I,0.9967676283969831,0.99784276126558,0.9956948098541019
2e,II,0.9966475095785441,0.9978422440661712,0.9954556326237742
2e,III,0.9970077797725913,0.9978437949209391,0.9961731643147572
2e,IV,0.9958058717795086,0.9978386167146974,0.9937813920114805
2e,V,0.9954447374730281,0.9978370583994232,0.9930638603204975
2e,VI,0.9910907777510234,0.9978181818181818,0.9844534800287013
2e,VII,0.9914550487423276,0.9978197674418605,0.9851710117196842
2e,VIII,0.932484076433121,0.9975470155355682,0.8753886629992824
2e,IX,0.9316675165731769,0.9975429975429976,0.8739535996173164
2f,I,0.9968877184582237,0.9978432782171099,0.9959339870844296
2f,II,0.9967676283969831,0.99784276126558,0.9956948098541019
2f,III,0.9967676283969831,0.99784276126558,0.9956948098541019
2f,IV,0.9960464837666227,0.9978396543446951,0.9942597464721359
2f,V,0.9962869804767038,0.9978406909788867,0.9947381009327912
2f,VI,0.9842424242424243,0.9977881543376751,0.9710595551303516
2f,VII,0.9844886088221038,0.997789240972734,0.9715379095910069
2f,VIII,0.9849806201550387,0.9977914110429448,0.9724946185123177
2f,IX,0.9825157843613405,0.9977805178791616,0.9677110739057642
3a,I,0.9804112422435819,0.9977711738484398,0.9636450609901938
3a,II,0.9801630765486187,0.9977700693756194,0.9631667065295384
3a,III,0.99363516272367,0.9978292329956585,0.9894762018655824
3a,IV,0.9960464837666227,0.9978396543446951,0.9942597464721359
3a,V,0.9923039923039924,0.9978234582829504,0.986845252331978
3a,VI,0.9923039923039924,0.9978234582829504,0.986845252331978
3a,VII,0.9744217354057031,0.9977443609022556,0.9521645539344654
3a,VIII,0.9484251474463546,0.997624076029567,0.9038507534082756
3a,IX,0.9673444239063462,0.9977122521606507,0.9387706290361157
3b,I,0.9795421334632245,0.9977673033986604,0.9619708203779
3b,II,0.9791692045316116,0.9977656405163853,0.961253288686917
3b,III,0.9664528860384806,0.9977081741787625,0.937096388423822
3b,IV,0.9518449030644153,0.9976402726796014,0.9100693613967951
3b,V,0.9765510503175379,0.9977539306214125,0.9562305668500358
3b,VI,0.9544603867747973,0.9976525821596244,0.9148529060033485
3b,VII,0.9439193446754883,0.9976025572722429,0.8957187275771347
3b,VIII,0.9445843828715366,0.9976057462090981,0.896914613728773
3b,IX,0.9436530946678432,0.9976012793176973,0.8952403731164793
3c,I,0.9927884615384616,0.9978255617298865,0.9878019612532887
3c,II,0.9923039923039924,0.9978234582829504,0.986845252331978
3c,III,0.9910907777510234,0.9978181818181818,0.9844534800287013
