Group,Step,F1,Precision,Recall
1a,I,0.9943189691007344,1.0,0.9887021217966382
1a,II,0.9939007485444968,1.0,0.9878754477817581
1a,III,0.9768818720045108,1.0,0.9548084871865528
1a,IV,0.9439837043503565,1.0,0.893910168090383
1a,V,0.9439837043503565,1.0,0.893910168090383
1a,VI,0.9345273047563124,1.0,0.8771011297878203
1a,VII,0.9318616629874908,1.0,0.8724166437034996
1a,VIII,0.9256956779159266,1.0,0.8616698815100579
1a,IX,0.9253775540420491,1.0,0.8611187655001378
1b,I,0.9951543679911394,1.0,0.9903554698263984
1b,II,0.9952934662236987,1.0,0.9906310278313585
1b,III,0.9943189691007344,1.0,0.9887021217966382
1b,IV,0.9944582986977002,1.0,0.9889776798015982
1b,V,0.9929235465519634,1.0,0.9859465417470378
1b,VI,0.9919444444444444,1.0,0.9840176357123175
1b,VII,0.9922243821160789,1.0,0.9845687517222376
1b,VIII,0.9923642926558378,1.0,0.9848443097271976
1b,IX,0.8912312862816988,1.0,0.8038027004684486
1c,I,0.9954325259515571,1.0,0.9909065858363185
1c,II,0.9954325259515571,1.0,0.9909065858363185
1c,III,0.9952934662236987,1.0,0.9906310278313585
1c,IV,0.9945975896938635,1.0,0.9892532378065583
1c,V,0.9209039548022598,1.0,0.8534031413612565
1c,VI,0.9447513812154696,1.0,0.8952879581151832
1c,VII,0.8132766514061478,1.0,0.6853127583356297
1c,VIII,0.8076228026942665,1.0,0.6773215761917883
1c,IX,0.7999338624338624,1.0,0.6665748139983466
1d,I,0.9950152312378843,1.0,0.9900799118214384
1d,II,0.9945975896938635,1.0,0.9892532378065583
1d,III,0.9939007485444968,1.0,0.9878754477817581
1d,IV,0.9934821800027736,1.0,0.9870487737668779
1d,V,0.9934821800027736,1.0,0.9870487737668779
1d,VI,0.9934821800027736,1.0,0.9870487737668779
1d,VII,0.9934821800027736,1.0,0.9870487737668779
1d,VIII,0.9934821800027736,1.0,0.9870487737668779
1d,IX,0.9934821800027736,1.0,0.9870487737668779
2a,I,0.9940401940401941,1.0,0.9881510057867181
2a,II,0.9936217415418747,1.0,0.987324331771838
2a,III,0.9764490198843605,1.0,0.9539818131716726
2a,IV,0.9439837043503565,1.0,0.893910168090383
2a,V,0.889704757534037,1.0,0.8013226784238082
2a,VI,0.8787270199289355,1.0,0.7836869661063653
2a,VII,0.7973487986743993,1.0,0.6629925599338661
2a,VIII,0.7897281974320494,1.0,0.6525213557453844
2a,IX,0.7899299766588863,1.0,0.6527969137503444
2b,I,0.9943189691007344,1.0,0.9887021217966382
2b,II,0.9936217415418747,1.0,0.987324331771838
2b,III,0.9773143581795125,1.0,0.9556351612014329
2b,IV,0.8907229099801315,1.0,0.8029760264535685
2b,V,0.8351789439897288,1.0,0.7170019289060348
2b,VI,0.8808018504240556,1.0,0.786993662165886
2b,VII,0.7905349108481919,1.0,0.6536235877652246
2b,VIII,0.7731575388776201,1.0,0.6302011573436208
2b,IX,0.7704557004912757,1.0,0.6266189032791403
2c,I,0.9933425797503468,1.0,0.9867732157619179
2c,II,0.9707884288145207,1.0,0.9432350509782309
2c,III,0.9354649457318862,1.0,0.8787544778175806
2c,IV,0.7807827985889467,1.0,0.6403968035271425
2c,V,0.7789367429340511,1.0,0.6379167814825021
2c,VI,0.743421052631579,1.0,0.5916230366492147
2c,VII,0.7337752965806001,1.0,0.5794984844309727
2c,VIII,0.7293417366946778,1.0,0.5739873243317718
2c,IX,0.7286740234717113,1.0,0.5731606503168917
2d,I,0.9952934662236987,1.0,0.9906310278313585
2d,II,0.9954325259515571,1.0,0.9909065858363185
2d,III,0.9943189691007344,1.0,0.9887021217966382
2d,IV,0.9939007485444968,1.0,0.9878754477817581
2d,V,0.9925041643531372,1.0,0.9851198677321577
2d,VI,0.8998029407306352,1.0,0.8178561587214108
2d,VII,0.8140522875816993,1.0,0.6864149903554698
2d,VIII,0.8107488120596428,1.0,0.6817305042711491
2d,IX,0.8159869494290375,1.0,0.6891705704050702
2e,I,0.9948760559479296,1.0,0.9898043538164784
2e,II,0.9944582986977002,1.0,0.9889776798015982
2e,III,0.9945975896938635,1.0,0.9892532378065583
2e,IV,0.9944582986977002,1.0,0.9889776798015982
2e,V,0.9930632630410655,1.0,0.9862220997519978
2e,VI,0.991664351208669,1.0,0.9834665197023974
2e,VII,0.8130825838103025,1.0,0.6850372003306696
2e,VIII,0.8123056782850597,1.0,0.6839349683108294
2e,IX,0.8130825838103025,1.0,0.6850372003306696
2f,I,0.9950152312378843,1.0,0.9900799118214384
2f,II,0.9945975896938635,1.0,0.9892532378065583
2f,III,0.9950152312378843,1.0,0.9900799118214384
2f,IV,0.9939007485444968,1.0,0.9878754477817581
2f,V,0.9930632630410655,1.0,0.9862220997519978
2f,VI,0.9926439972241499,1.0,0.9853954257371177
2f,VII,0.8698224852071006,1.0,0.7696335078534031
2f,VIII,0.8400191785200576,1.0,0.7241664370349958
2f,IX,0.8400191785200576,1.0,0.7241664370349958
3a,I,0.9940401940401941,1.0,0.9881510057867181
3a,II,0.9933425797503468,1.0,0.9867732157619179
3a,III,0.9768818720045108,1.0,0.9548084871865528
3a,IV,0.9421367147646116,1.0,0.8906034720308625
3a,V,0.8641627543035993,1.0,0.7608156516946817
3a,VI,0.7993382961124896,1.0,0.6657481399834665
3a,VII,0.7885161074945752,1.0,0.6508680077156241
3a,VIII,0.7746074624345771,1.0,0.6321300633783411
3a,IX,0.8056606878393945,1.0,0.6745659961421879
3b,I,0.9930632630410655,1.0,0.9862220997519978
3b,II,0.9703504043126685,1.0,0.9424083769633508
3b,III,0.9334313005143277,1.0,0.8751722237531
3b,IV,0.7789367429340511,1.0,0.6379167814825021
3b,V,0.7739864864864865,1.0,0.631303389363461
3b,VI,0.738397357900226,1.0,0.5852852025351336
3b,VII,0.738397357900226,1.0,0.5852852025351336
3b,VIII,0.7425502425502426,1.0,0.5905208046293745
3b,IX,0.7539914163090129,1.0,0.6051253788922568
3c,I,0.9933425797503468,1.0,0.9867732157619179
3c,II,0.9706424620621188,1.0,0.9429594929732709
3c,III,0.8823529411764706,1.0,0.7894736842105263
3c,IV,0.7791421362489487,1.0,0.6381923394874621
3c,V,0.773364880851783,1.0,0.6304767153485809
3c,VI,0.8156005221932114,1.0,0.6886194543951502
3c,VII,0.7112926136363636,1.0,0.5519426839349683
3c,VIII,0.6988167802079598,1.0,0.5370625516671259
3c,IX,0.6774781341107872,1.0,0.512262331220722
3d,I,0.9948760559479296,1.0,0.9898043538164784
3d,II,0.9944582986977002,1.0,0.9889776798015982
3d,III,0.9940401940401941,1.0,0.9881510057867181
3d,IV,0.9933425797503468,1.0,0.9867732157619179
3d,V,0.9925041643531372,1.0,0.9851198677321577
3d,VI,0.939663988312637,1.0,0.8861945439515018
3d,VII,0.8142460382290475,1.0,0.6866905483604299
3d,VIII,0.8150204081632653,1.0,0.68779278038027
3d,IX,0.8156005221932114,1.0,0.6886194543951502
4a,I,0.9930632630410655,1.0,0.9862220997519978
4a,II,0.9702043132803633,1.0,0.9421328189583907
4a,III,0.9337446745996768,1.0,0.8757233397630201
