Group,Step,F1,Precision,Recall
1a,I,0.9997522913054249,1.0,0.9995047052996533
1a,II,0.9997522913054249,1.0,0.9995047052996533
1a,III,0.9997522913054249,1.0,0.9995047052996533
1a,IV,0.9997522913054249,1.0,0.9995047052996533
1a,V,0.9997522913054249,1.0,0.9995047052996533
1a,VI,0.9997522913054249,1.0,0.9995047052996533
1a,VII,0.9997522913054249,1.0,0.9995047052996533
1a,VIII,0.9997522913054249,1.0,0.9995047052996533
1a,IX,0.9997522913054249,1.0,0.9995047052996533
1b,I,0.9997522913054249,1.0,0.9995047052996533
1b,II,0.9997522913054249,1.0,0.9995047052996533
1b,III,0.9997522913054249,1.0,0.9995047052996533
1b,IV,0.9997522913054249,1.0,0.9995047052996533
1b,V,0.9997522913054249,1.0,0.9995047052996533
1b,VI,0.9997522913054249,1.0,0.9995047052996533
1b,VII,0.9997522913054249,1.0,0.9995047052996533
1b,VIII,0.9997522913054249,1.0,0.9995047052996533
1b,IX,0.9997522913054249,1.0,0.9995047052996533
1c,I,0.9997522913054249,1.0,0.9995047052996533
1c,II,0.9997522913054249,1.0,0.9995047052996533
1c,III,0.9997522913054249,1.0,0.9995047052996533
1c,IV,0.9997522913054249,1.0,0.9995047052996533
1c,V,0.9997522913054249,1.0,0.9995047052996533
1c,VI,0.9997522913054249,1.0,0.9995047052996533
1c,VII,0.9997522913054249,1.0,0.9995047052996533
1c,VIII,0.9997522913054249,1.0,0.9995047052996533
1c,IX,0.9997522913054249,1.0,0.9995047052996533
1d,I,0.9997522913054249,1.0,0.9995047052996533
1d,II,0.9997522913054249,1.0,0.9995047052996533
1d,III,0.9997522913054249,1.0,0.9995047052996533
1d,IV,0.9997522913054249,1.0,0.9995047052996533
1d,V,0.9997522913054249,1.0,0.9995047052996533
1d,VI,0.9997522913054249,1.0,0.9995047052996533
1d,VII,0.9997522913054249,1.0,0.9995047052996533
1d,VIII,0.9997522913054249,1.0,0.9995047052996533
1d,IX,0.9997522913054249,1.0,0.9995047052996533
2a,I,0.9997522913054249,1.0,0.9995047052996533
2a,II,0.9997522913054249,1.0,0.9995047052996533
2a,III,0.9997522913054249,1.0,0.9995047052996533
2a,IV,0.9997522913054249,1.0,0.9995047052996533
2a,V,0.9997522913054249,1.0,0.9995047052996533
2a,VI,0.9997522913054249,1.0,0.9995047052996533
2a,VII,0.9997522913054249,1.0,0.9995047052996533
2a,VIII,0.9997522913054249,1.0,0.9995047052996533
2a,IX,0.9997522913054249,1.0,0.9995047052996533
2b,I,0.9997522913054249,1.0,0.9995047052996533
2b,II,0.9997522913054249,1.0,0.9995047052996533
2b,III,0.9997522913054249,1.0,0.9995047052996533
2b,IV,0.9997522913054249,1.0,0.9995047052996533
2b,V,0.9997522913054249,1.0,0.9995047052996533
2b,VI,0.9997522913054249,1.0,0.9995047052996533
2b,VII,0.9997522913054249,1.0,0.9995047052996533
2b,VIII,0.9997522913054249,1.0,0.9995047052996533
2b,IX,0.9997522913054249,1.0,0.9995047052996533
2c,I,0.9997522913054249,1.0,0.9995047052996533
2c,II,0.9997522913054249,1.0,0.9995047052996533
2c,III,0.9997522913054249,1.0,0.9995047052996533
