Group,Step,F1,Precision,Recall
1a,I,0.9942399198597546,0.9979889391654098,0.9905189620758483
1a,II,0.9838056680161943,0.997946611909651,0.9700598802395209
1a,III,0.9838056680161943,0.997946611909651,0.9700598802395209
1a,IV,0.9838056680161943,0.997946611909651,0.9700598802395209
1a,V,0.9835484687420906,0.9979455572675912,0.969560878243513
1a,VI,0.9835484687420906,0.9979455572675912,0.969560878243513
1a,VII,0.9835484687420906,0.9979455572675912,0.969560878243513
1a,VIII,0.9838056680161943,0.997946611909651,0.9700598802395209
1a,IX,0.9832911392405064,0.9979445015416238,0.969061876247505
1b,I,0.9939879759519038,0.9979879275653923,0.9900199600798403
1b,II,0.9937359057880231,0.9979869149471565,0.9895209580838323
1b,III,0.993483709273183,0.9979859013091642,0.9890219560878244
1b,IV,0.993483709273183,0.9979859013091642,0.9890219560878244
1b,V,0.993483709273183,0.9979859013091642,0.9890219560878244
1b,VI,0.9929789368104313,0.9979838709677419,0.9880239520958084
1b,VII,0.9929789368104313,0.9979838709677419,0.9880239520958084
1b,VIII,0.9927263606721846,0.9979828542612204,0.9875249500998003
1b,IX,0.9924736578023081,0.9979818365287588,0.9870259481037924
1c,I,0.9939879759519038,0.9979879275653923,0.9900199600798403
1c,II,0.9939879759519038,0.9979879275653923,0.9900199600798403
1c,III,0.9937359057880231,0.9979869149471565,0.9895209580838323
1c,IV,0.8791515489813005,0.9974667511082964,0.7859281437125748
1c,V,0.8489538549727715,0.9973063973063973,0.7390219560878244
1c,VI,0.8463085320310255,0.997291807718348,0.7350299401197605
1c,VII,0.8459770114942529,0.997289972899729,0.7345309381237525
1c,VIII,0.8476327116212339,0.9972991222147198,0.7370259481037924
1c,IX,0.8479632816982214,0.9973009446693657,0.7375249500998003
1d,I,0.9944917376064096,0.9979899497487437,0.9910179640718563
1d,II,0.9942399198597546,0.9979889391654098,0.9905189620758483
1d,III,0.9942399198597546,0.9979889391654098,0.9905189620758483
1d,IV,0.9942399198597546,0.9979889391654098,0.9905189620758483
1d,V,0.9942399198597546,0.9979889391654098,0.9905189620758483
1d,VI,0.9942399198597546,0.9979889391654098,0.9905189620758483
1d,VII,0.9942399198597546,0.9979889391654098,0.9905189620758483
1d,VIII,0.9942399198597546,0.9979889391654098,0.9905189620758483
