Group,Step,F1,Precision,Recall
1a,I,0.9961957900076084,0.9989827060020345,0.9934243803743045
1a,II,0.9961957900076084,0.9989827060020345,0.9934243803743045
1a,III,0.9961957900076084,0.9989827060020345,0.9934243803743045
1a,IV,0.9961957900076084,0.9989827060020345,0.9934243803743045
1a,V,0.9959411466260781,0.9989821882951654,0.9929185634800203
1a,VI,0.9959411466260781,0.9989821882951654,0.9929185634800203
1a,VII,0.9959411466260781,0.9989821882951654,0.9929185634800203
1a,VIII,0.9959411466260781,0.9989821882951654,0.9929185634800203
1a,IX,0.9959411466260781,0.9989821882951654,0.9929185634800203
1b,I,0.9964503042596349,0.9989832231825114,0.9939301972685888
1b,II,0.9964503042596349,0.9989832231825114,0.9939301972685888
1b,III,0.9861680327868853,0.9989621172807472,0.973697521497218
1b,IV,0.9814719505918682,0.998952331063384,0.9645928174001012
1b,V,0.9711463478034832,0.9989304812834224,0.9448659585230147
1b,VI,0.969807391983342,0.9989276139410188,0.9423368740515933
1b,VII,0.9668493865831376,0.9989212513484358,0.9367728882144664
1b,VIII,0.9641455116461659,0.9989154013015185,0.9317147192716236
1b,IX,0.9608821212916776,0.9989082969432315,0.9256449165402124
1c,I,0.9964503042596349,0.9989832231825114,0.9939301972685888
1c,II,0.9964503042596349,0.9989832231825114,0.9939301972685888
1c,III,0.986946506270796,0.9989637305699481,0.9752149721800708
1c,IV,0.9861680327868853,0.9989621172807472,0.973697521497218
1c,V,0.9722150090885484,0.9989327641408752,0.9468892261001517
1c,VI,0.9722150090885484,0.9989327641408752,0.9468892261001517
1c,VII,0.9722150090885484,0.9989327641408752,0.9468892261001517
1c,VIII,0.9719480519480519,0.99893219434063,0.9463834092058675
1c,IX,0.9719480519480519,0.99893219434063,0.9463834092058675
1d,I,0.9967046894803548,0.9989837398373984,0.9944360141628731
1d,II,0.9964503042596349,0.9989832231825114,0.9939301972685888
1d,III,0.9964503042596349,0.9989832231825114,0.9939301972685888
1d,IV,0.9964503042596349,0.9989832231825114,0.9939301972685888
1d,V,0.9964503042596349,0.9989832231825114,0.9939301972685888
1d,VI,0.9964503042596349,0.9989832231825114,0.9939301972685888
1d,VII,0.9964503042596349,0.9989832231825114,0.9939301972685888
1d,VIII,0.9961957900076084,0.9989827060020345,0.9934243803743045
1d,IX,0.9959411466260781,0.9989821882951654,0.9929185634800203
2a,I,0.9961957900076084,0.9989827060020345,0.9934243803743045
2a,II,0.9954314720812183,0.9989811512990321,0.9919069296914517
2a,III,0.9853883619584722,0.998960498960499,0.9721800708143652
2a,IV,0.9708788351534061,0.9989299090422686,0.9443601416287304
2a,V,0.9652287581699346,0.9989177489177489,0.9337379868487607
2a,VI,0.9614274468643401,0.9989094874591058,0.926656550328781
2a,VII,0.9592427031291086,0.9989047097480832,0.9226100151745068
