Group,Step,F1,Precision,Recall
1a,I,0.9949799196787149,0.9964806435394671,0.993483709273183
1a,II,0.9919436052366566,0.9964592817400101,0.9874686716791979
1a,III,0.988377968671046,0.9964340295466123,0.9804511278195489
1a,IV,0.9934640522875817,0.9964699949571356,0.9904761904761905
1a,V,0.9934640522875817,0.9964699949571356,0.9904761904761905
1a,VI,0.9934640522875817,0.9964699949571356,0.9904761904761905
1a,VII,0.9932109630374655,0.9964682139253279,0.9899749373433584
1a,VIII,0.9929577464788732,0.9964664310954063,0.9894736842105263
1a,IX,0.9927044025157232,0.9964646464646465,0.9889724310776943
1b,I,0.996993987975952,0.9964947421131698,0.9974937343358395
1b,II,0.996993987975952,0.9964947421131698,0.9974937343358395
1b,III,0.9957361424630048,0.9964859437751004,0.9949874686716792
1b,IV,0.9932109630374655,0.9964682139253279,0.9899749373433584
1b,V,0.9929577464788732,0.9964664310954063,0.9894736842105263
1b,VI,0.9762209153669138,0.9963465553235908,0.9568922305764411
1b,VII,0.9816887080366226,0.996386164171399,0.9674185463659147
1b,VIII,0.9811704834605598,0.9963824289405685,0.9664160401002506
1b,IX,0.9806517311608961,0.9963786859803414,0.9654135338345865
1c,I,0.996993987975952,0.9964947421131698,0.9974937343358395
1c,II,0.996993987975952,0.9964947421131698,0.9974937343358395
1c,III,0.9964912280701754,0.9964912280701754,0.9964912280701754
1c,IV,0.9964912280701754,0.9964912280701754,0.9964912280701754
1c,V,0.9964912280701754,0.9964912280701754,0.9964912280701754
1c,VI,0.9964912280701754,0.9964912280701754,0.9964912280701754
1c,VII,0.985044359949303,0.9964102564102564,0.9739348370927319
1c,VIII,0.9788319306299413,0.9963655244029076,0.9619047619047619
1c,IX,0.9865856745127816,0.9964212678936605,0.9769423558897243
1d,I,0.9974962443665498,0.9964982491245623,0.9984962406015038
1d,II,0.9974962443665498,0.9964982491245623,0.9984962406015038
1d,III,0.995987963891675,0.9964877069744105,0.9954887218045113
1d,IV,0.9954841946813848,0.9964841788046208,0.9944862155388471
1d,V,0.9954841946813848,0.9964841788046208,0.9944862155388471
1d,VI,0.9954841946813848,0.9964841788046208,0.9944862155388471
1d,VII,0.9954841946813848,0.9964841788046208,0.9944862155388471
1d,VIII,0.9954841946813848,0.9964841788046208,0.9944862155388471
