Group,Step,F1,Precision,Recall
1a,I,0.9969742813918305,0.9969742813918305,0.9969742813918305
1a,II,0.9967213114754099,0.9969727547931383,0.9964699949571356
1a,III,0.9967213114754099,0.9969727547931383,0.9964699949571356
1a,IV,0.9967213114754099,0.9969727547931383,0.9964699949571356
1a,V,0.9967213114754099,0.9969727547931383,0.9964699949571356
1a,VI,0.9967213114754099,0.9969727547931383,0.9964699949571356
1a,VII,0.9964682139253279,0.9969712266532055,0.9959657085224407
1a,VIII,0.9964682139253279,0.9969712266532055,0.9959657085224407
1a,IX,0.9964682139253279,0.9969712266532055,0.9959657085224407
1b,I,0.9969742813918305,0.9969742813918305,0.9969742813918305
1b,II,0.9969742813918305,0.9969742813918305,0.9969742813918305
1b,III,0.9967213114754099,0.9969727547931383,0.9964699949571356
1b,IV,0.9964682139253279,0.9969712266532055,0.9959657085224407
1b,V,0.9941845764854614,0.9969574036511156,0.9914271306101866
1b,VI,0.985204081632653,0.9969024264326277,0.9737771053958648
1b,VII,0.9731543624161074,0.9968270756213644,0.9505799293998991
1b,VIII,0.9335120643431636,0.996565540927304,0.8779626828038326
1b,IX,0.9151895282247069,0.996437054631829,0.8461926374180535
1c,I,0.9969742813918305,0.9969742813918305,0.9969742813918305
1c,II,0.9969742813918305,0.9969742813918305,0.9969742813918305
1c,III,0.9967213114754099,0.9969727547931383,0.9964699949571356
1c,IV,0.9967213114754099,0.9969727547931383,0.9964699949571356
1c,V,0.9967213114754099,0.9969727547931383,0.9964699949571356
1c,VI,0.9962149886449659,0.996969696969697,0.9954614220877458
1c,VII,0.9941845764854614,0.9969574036511156,0.9914271306101866
1c,VIII,0.9929113924050633,0.9969496695475343,0.988905698436712
1c,IX,0.9929113924050633,0.9969496695475343,0.988905698436712
1d,I,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,II,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,III,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,IV,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,V,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,VI,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,VII,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,VIII,0.9969742813918305,0.9969742813918305,0.9969742813918305
1d,IX,0.9969742813918305,0.9969742813918305,0.9969742813918305
2a,I,0.9964682139253279,0.9969712266532055,0.9959657085224407
2a,II,0.9964682139253279,0.9969712266532055,0.9959657085224407
2a,III,0.9964682139253279,0.9969712266532055,0.9959657085224407
2a,IV,0.9952008082849204,0.9969635627530364,0.9934442763489663
2a,V,0.6637554585152838,0.993963782696177,0.4982349974785678
2a,VI,0.7564864020006252,0.9950657894736842,0.6101865859808371
2a,VII,0.5358851674641149,0.9918256130790191,0.36712052445789206
2a,VIII,0.5534545454545454,0.9921773142112125,0.383761976802824
2a,IX,0.6515254237288136,0.9937952430196484,0.48461926374180536
2b,I,0.9967213114754099,0.9969727547931383,0.9964699949571356
2b,II,0.9967213114754099,0.9969727547931383,0.9964699949571356
2b,III,0.9967213114754099,0.9969727547931383,0.9964699949571356
2b,IV,0.9967213114754099,0.9969727547931383,0.9964699949571356
2b,V,0.9286291408564503,0.9965317919075144,0.8693898134140191
2b,VI,0.9949469429004548,0.9969620253164557,0.9929399899142713
2b,VII,0.9251553634152931,0.9965075669383003,0.8633383761976803
2b,VIII,0.924283396430503,0.9965014577259476,0.8618255168935955
2b,IX,0.924283396430503,0.9965014577259476,0.8618255168935955
2c,I,0.9967213114754099,0.9969727547931383,0.9964699949571356
2c,II,0.9969742813918305,0.9969742813918305,0.9969742813918305
2c,III,0.9964682139253279,0.9969712266532055,0.9959657085224407
2c,IV,0.9219512195121952,0.9964850615114236,0.8577912254160364
2c,V,0.9219512195121952,0.9964850615114236,0.8577912254160364
2c,VI,0.9219512195121952,0.9964850615114236,0.8577912254160364
2c,VII,0.9216589861751152,0.9964830011723329,0.8572869389813415
2c,VIII,0.9216589861751152,0.9964830011723329,0.8572869389813415
2c,IX,0.9216589861751152,0.9964830011723329,0.8572869389813415
2d,I,0.9969742813918305,0.9969742813918305,0.9969742813918305
2d,II,0.9969742813918305,0.9969742813918305,0.9969742813918305
2d,III,0.9967213114754099,0.9969727547931383,0.9964699949571356
2d,IV,0.9959616355376073,0.9969681657402729,0.9949571356530509
2d,V,0.9492868462757528,0.9966722129783694,0.9062027231467473
2d,VI,0.9506726457399103,0.9966814159292036,0.9087241553202219
2d,VII,0.9403303143313798,0.9966120835686053,0.8900655572365104
2d,VIII,0.9231185706551164,0.9964932787843367,0.8598083711548159
2d,IX,0.9143013100436681,0.9964306960142773,0.8446797781139688
2e,I,0.9969742813918305,0.9969742813918305,0.9969742813918305
2e,II,0.9967213114754099,0.9969727547931383,0.9964699949571356
2e,III,0.9957081545064378,0.9969666329625885,0.994452849218356
2e,IV,0.9931662870159453,0.9969512195121951,0.989409984871407
2e,V,0.9883011190233978,0.9969214982042073,0.9798285426122038
2e,VI,0.985204081632653,0.9969024264326277,0.9737771053958648
2e,VII,0.9805228088159919,0.9968733715476811,0.9646999495713565
2e,VIII,0.9820880245649949,0.9968831168831169,0.967725668179526
2e,IX,0.9802614714175852,0.9968717413972888,0.9641956631366616
2f,I,0.9967213114754099,0.9969727547931383,0.9964699949571356
2f,II,0.9969742813918305,0.9969742813918305,0.9969742813918305
2f,III,0.9964682139253279,0.9969712266532055,0.9959657085224407
2f,IV,0.9959616355376073,0.9969681657402729,0.9949571356530509
2f,V,0.9936756893498608,0.9969543147208122,0.9904185577407968
2f,VI,0.9918905220476432,0.9969434538970963,0.9868885526979324
2f,VII,0.9906115199188024,0.9969356486210419,0.9843671205244579
2f,VIII,0.9903553299492386,0.9969340827797649,0.9838628340897629
2f,IX,0.9903553299492386,0.9969340827797649,0.9838628340897629
3a,I,0.9964682139253279,0.9969712266532055,0.9959657085224407
3a,II,0.9964682139253279,0.9969712266532055,0.9959657085224407
3a,III,0.9274737125909949,0.996523754345307,0.8673726676752396
3a,IV,0.9251553634152931,0.9965075669383003,0.8633383761976803
