Group,Step,F1,Precision,Recall
1a,I,0.7049332919640087,0.9490392648287385,0.56071076011846
1a,II,0.6474400518470512,0.9424528301886792,0.4930898321816387
1a,III,0.6368386675375571,0.9411196911196911,0.48124383020730505
1a,IV,0.6368386675375571,0.9411196911196911,0.48124383020730505
1a,V,0.6368386675375571,0.9411196911196911,0.48124383020730505
1a,VI,0.6368386675375571,0.9411196911196911,0.48124383020730505
1a,VII,0.6368386675375571,0.9411196911196911,0.48124383020730505
1a,VIII,0.6368386675375571,0.9411196911196911,0.48124383020730505
1a,IX,0.6368386675375571,0.9411196911196911,0.48124383020730505
1b,I,0.9528349222277973,0.9688775510204082,0.937314906219151
1b,II,0.9528349222277973,0.9688775510204082,0.937314906219151
1b,III,0.9528349222277973,0.9688775510204082,0.937314906219151
1b,IV,0.9486146095717884,0.9686213991769548,0.9294175715695953
1b,V,0.9486146095717884,0.9686213991769548,0.9294175715695953
1b,VI,0.9486146095717884,0.9686213991769548,0.9294175715695953
1b,VII,0.9486146095717884,0.9686213991769548,0.9294175715695953
1b,VIII,0.9486146095717884,0.9686213991769548,0.9294175715695953
1b,IX,0.9478195109654651,0.9685729005667182,0.9279368213228035
1c,I,0.9670873546151942,0.969727047146402,0.9644619940769991
1c,II,0.9670873546151942,0.969727047146402,0.9644619940769991
1c,III,0.9652949925632127,0.9696215139442231,0.9610069101678184
1c,IV,0.949672873678913,0.9686858316221766,0.9313919052319842
1c,V,0.9494085074251195,0.9686697483307652,0.930898321816387
1c,VI,0.9494085074251195,0.9686697483307652,0.930898321816387
1c,VII,0.9494085074251195,0.9686697483307652,0.930898321816387
1c,VIII,0.9494085074251195,0.9686697483307652,0.930898321816387
1c,IX,0.9494085074251195,0.9686697483307652,0.930898321816387
1d,I,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,II,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,III,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,IV,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,V,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,VI,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,VII,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,VIII,0.949937106918239,0.9687018984094408,0.9318854886475815
1d,IX,0.949937106918239,0.9687018984094408,0.9318854886475815
2a,I,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2a,II,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2a,III,0.0,0.0,0.0
2a,IV,0.0,0.0,0.0
2a,V,0.0,0.0,0.0
2a,VI,0.0,0.0,0.0
2a,VII,0.0,0.0,0.0
2a,VIII,0.0,0.0,0.0
2a,IX,0.0,0.0,0.0
2b,I,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2b,II,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2b,III,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2b,IV,0.0,0.0,0.0
2b,V,0.0,0.0,0.0
2b,VI,0.0,0.0,0.0
2b,VII,0.0,0.0,0.0
2b,VIII,0.0,0.0,0.0
2b,IX,0.0,0.0,0.0
2c,I,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,II,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,III,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,IV,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,V,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,VI,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,VII,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,VIII,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2c,IX,0.0009578544061302681,0.016129032258064516,0.0004935834155972359
2d,I,0.9528349222277973,0.9688775510204082,0.937314906219151
2d,II,0.9528349222277973,0.9688775510204082,0.937314906219151
2d,III,0.9486146095717884,0.9686213991769548,0.9294175715695953
2d,IV,0.9486146095717884,0.9686213991769548,0.9294175715695953
2d,V,0.9486146095717884,0.9686213991769548,0.9294175715695953
2d,VI,0.9480846774193549,0.9685890834191555,0.9284304047384008
2d,VII,0.9480846774193549,0.9685890834191555,0.9284304047384008
2d,VIII,0.9480846774193549,0.9685890834191555,0.9284304047384008
2d,IX,0.9478195109654651,0.9685729005667182,0.9279368213228035
2e,I,0.9064710505632696,0.9659408151870463,0.8538993089832182
2e,II,0.9064710505632696,0.9659408151870463,0.8538993089832182
