Group,Step,F1,Precision,Recall
1a,I,0.9982460536206464,1.0,0.9964982491245623
1a,II,0.9982460536206464,1.0,0.9964982491245623
1a,III,0.9982460536206464,1.0,0.9964982491245623
1a,IV,0.9982460536206464,1.0,0.9964982491245623
1a,V,0.9982460536206464,1.0,0.9964982491245623
1a,VI,0.9982460536206464,1.0,0.9964982491245623
1a,VII,0.9982460536206464,1.0,0.9964982491245623
1a,VIII,0.9982460536206464,1.0,0.9964982491245623
1a,IX,0.9982460536206464,1.0,0.9964982491245623
1b,I,0.9982460536206464,1.0,0.9964982491245623
1b,II,0.9982460536206464,1.0,0.9964982491245623
1b,III,0.9979949874686717,1.0,0.9959979989994997
1b,IV,0.9979949874686717,1.0,0.9959979989994997
1b,V,0.9979949874686717,1.0,0.9959979989994997
1b,VI,0.9974924774322969,1.0,0.9949974987493747
1b,VII,0.9964859437751004,1.0,0.9929964982491246
1b,VIII,0.9969894631209232,1.0,0.9939969984992496
1b,IX,0.9969894631209232,1.0,0.9939969984992496
1c,I,0.9982460536206464,1.0,0.9964982491245623
1c,II,0.9982460536206464,1.0,0.9964982491245623
1c,III,0.9979949874686717,1.0,0.9959979989994997
1c,IV,0.9979949874686717,1.0,0.9959979989994997
1c,V,0.9979949874686717,1.0,0.9959979989994997
1c,VI,0.997743795437453,1.0,0.9954977488744372
1c,VII,0.997743795437453,1.0,0.9954977488744372
1c,VIII,0.9974924774322969,1.0,0.9949974987493747
1c,IX,0.9974924774322969,1.0,0.9949974987493747
1d,I,0.9982460536206464,1.0,0.9964982491245623
1d,II,0.9982460536206464,1.0,0.9964982491245623
1d,III,0.9982460536206464,1.0,0.9964982491245623
1d,IV,0.9982460536206464,1.0,0.9964982491245623
1d,V,0.9982460536206464,1.0,0.9964982491245623
1d,VI,0.9982460536206464,1.0,0.9964982491245623
1d,VII,0.9982460536206464,1.0,0.9964982491245623
1d,VIII,0.9982460536206464,1.0,0.9964982491245623
1d,IX,0.9982460536206464,1.0,0.9964982491245623
2a,I,0.9974924774322969,1.0,0.9949974987493747
2a,II,0.9969894631209232,1.0,0.9939969984992496
2a,III,0.9964859437751004,1.0,0.9929964982491246
2a,IV,0.9964859437751004,1.0,0.9929964982491246
2a,V,0.984505969011938,1.0,0.9694847423711856
2a,VI,0.9824382794604225,1.0,0.9654827413706853
2a,VII,0.9821792260692465,1.0,0.9649824912456229
2a,VIII,0.9821792260692465,1.0,0.9649824912456229
2a,IX,0.9821792260692465,1.0,0.9649824912456229
2b,I,0.9982460536206464,1.0,0.9964982491245623
2b,II,0.9982460536206464,1.0,0.9964982491245623
2b,III,0.9979949874686717,1.0,0.9959979989994997
