Group,Step,F1,Precision,Recall
1a,I,0.9852536865783554,0.9738142292490118,0.9969650986342944
1a,II,0.9847461865466367,0.9737883283877349,0.9959534648457259
1a,III,0.9781021897810219,0.9734468937875751,0.9828022255943348
1a,IV,0.9781021897810219,0.9734468937875751,0.9828022255943348
1a,V,0.9781021897810219,0.9734468937875751,0.9828022255943348
1a,VI,0.9781021897810219,0.9734468937875751,0.9828022255943348
1a,VII,0.9781021897810219,0.9734468937875751,0.9828022255943348
1a,VIII,0.9847461865466367,0.9737883283877349,0.9959534648457259
1a,IX,0.9847461865466367,0.9737883283877349,0.9959534648457259
1b,I,0.9824561403508771,0.9736711376055638,0.9914011127971675
1b,II,0.9824561403508771,0.9736711376055638,0.9914011127971675
1b,III,0.9798994974874372,0.9735396904643036,0.9863429438543247
1b,IV,0.9791299974855419,0.9735,0.9848254931714719
1b,V,0.9783593356819326,0.9734601902854282,0.9833080424886191
1b,VI,0.9775875094434652,0.973420260782347,0.9817905918057663
1b,VII,0.9770723104056437,0.9733935742971888,0.9807789580171977
1b,VIII,0.9775875094434652,0.973420260782347,0.9817905918057663
1b,IX,0.9798994974874372,0.9735396904643036,0.9863429438543247
1c,I,0.981690494105844,0.9736318407960199,0.9898836621143147
1c,II,0.981690494105844,0.9736318407960199,0.9898836621143147
1c,III,0.9814350225790266,0.9736187157789945,0.9893778452200304
1c,IV,0.9809236947791165,0.9735924265072247,0.9883662114314619
1c,V,0.9747474747474747,0.9732728189611699,0.9762266059686393
1c,VI,0.962432915921288,0.9726239669421488,0.9524532119372787
1c,VII,0.9462756293797041,0.9717484008528785,0.9221041982802226
1c,VIII,0.9460020768431984,0.9717333333333333,0.9215983813859383
1c,IX,0.9462756293797041,0.9717484008528785,0.9221041982802226
1d,I,0.9829659318637275,0.973697270471464,0.992412746585736
1d,II,0.9829659318637275,0.973697270471464,0.992412746585736
1d,III,0.9829659318637275,0.973697270471464,0.992412746585736
1d,IV,0.9829659318637275,0.973697270471464,0.992412746585736
1d,V,0.9829659318637275,0.973697270471464,0.992412746585736
1d,VI,0.9829659318637275,0.973697270471464,0.992412746585736
1d,VII,0.9829659318637275,0.973697270471464,0.992412746585736
1d,VIII,0.9829659318637275,0.973697270471464,0.992412746585736
1d,IX,0.9829659318637275,0.973697270471464,0.992412746585736
2a,I,0.9844922461230615,0.9737753587333003,0.9954476479514416
2a,II,0.9842381786339754,0.9737623762376237,0.9949418310571573
2a,III,0.9757820383451059,0.9733266230498239,0.9782498735457764
2a,IV,0.9595079446437724,0.9724675324675325,0.9468892261001517
2a,V,0.9410537297861241,0.9714593430263866,0.9124936772888215
2a,VI,0.9388395190799791,0.971335857220119,0.9084471421345472
2a,VII,0.9393939393939394,0.9713668287412209,0.9094587759231159
2a,VIII,0.9402244844688071,0.9714131607335491,0.9109762266059687
2a,IX,0.9495472186287193,0.971927966101695,0.9281740010116338
2b,I,0.9844922461230615,0.9737753587333003,0.9954476479514416
2b,II,0.983729662077597,0.9737363726461843,0.9939301972685888
2b,III,0.9690198070086338,0.972972972972973,0.9650986342943855
2b,IV,0.9611054247697032,0.9725530813050233,0.9499241274658573
2b,V,0.9424329252409481,0.9715359828141783,0.9150227617602428
2b,VI,0.91848694725626,0.9701744513224536,0.8720283257460799
2b,VII,0.9402244844688071,0.9714131607335491,0.9109762266059687
2b,VIII,0.9405010438413361,0.9714285714285714,0.9114820435002529
2b,IX,0.9495472186287193,0.971927966101695,0.9281740010116338
2c,I,0.9855072463768116,0.9738271604938271,0.9974709155285787
2c,II,0.985,0.9738012852199703,0.9964592817400101
2c,III,0.9778449144008057,0.9734335839598998,0.9822964087000505
2c,IV,0.9778449144008057,0.9734335839598998,0.9822964087000505
2c,V,0.9778449144008057,0.9734335839598998,0.9822964087000505
2c,VI,0.9778449144008057,0.9734335839598998,0.9822964087000505
2c,VII,0.9778449144008057,0.9734335839598998,0.9822964087000505
2c,VIII,0.9778449144008057,0.9734335839598998,0.9822964087000505
2c,IX,0.9778449144008057,0.9734335839598998,0.9822964087000505
2d,I,0.981690494105844,0.9736318407960199,0.9898836621143147
2d,II,0.981690494105844,0.9736318407960199,0.9898836621143147
2d,III,0.9791299974855419,0.9735,0.9848254931714719
