Group,Step,F1,Precision,Recall
1a,I,0.99987320907823,1.0,0.9997464503042597
1a,II,0.99987320907823,1.0,0.9997464503042597
1a,III,0.99987320907823,1.0,0.9997464503042597
1a,IV,0.99987320907823,1.0,0.9997464503042597
1a,V,0.99987320907823,1.0,0.9997464503042597
1a,VI,0.99987320907823,1.0,0.9997464503042597
1a,VII,0.99987320907823,1.0,0.9997464503042597
1a,VIII,0.99987320907823,1.0,0.9997464503042597
1a,IX,0.99987320907823,1.0,0.9997464503042597
1b,I,0.99987320907823,1.0,0.9997464503042597
1b,II,0.99987320907823,1.0,0.9997464503042597
1b,III,0.99987320907823,1.0,0.9997464503042597
1b,IV,0.99987320907823,1.0,0.9997464503042597
1b,V,0.99987320907823,1.0,0.9997464503042597
1b,VI,0.99987320907823,1.0,0.9997464503042597
1b,VII,0.99987320907823,1.0,0.9997464503042597
1b,VIII,0.99987320907823,1.0,0.9997464503042597
1b,IX,0.99987320907823,1.0,0.9997464503042597
1c,I,0.99987320907823,1.0,0.9997464503042597
1c,II,0.99987320907823,1.0,0.9997464503042597
1c,III,0.99987320907823,1.0,0.9997464503042597
1c,IV,0.99987320907823,1.0,0.9997464503042597
1c,V,0.99987320907823,1.0,0.9997464503042597
1c,VI,0.99987320907823,1.0,0.9997464503042597
1c,VII,0.99987320907823,1.0,0.9997464503042597
1c,VIII,0.99987320907823,1.0,0.9997464503042597
1c,IX,0.99987320907823,1.0,0.9997464503042597
1d,I,0.99987320907823,1.0,0.9997464503042597
1d,II,0.99987320907823,1.0,0.9997464503042597
1d,III,0.99987320907823,1.0,0.9997464503042597
1d,IV,0.99987320907823,1.0,0.9997464503042597
1d,V,0.99987320907823,1.0,0.9997464503042597
1d,VI,0.99987320907823,1.0,0.9997464503042597
1d,VII,0.99987320907823,1.0,0.9997464503042597
1d,VIII,0.99987320907823,1.0,0.9997464503042597
1d,IX,0.99987320907823,1.0,0.9997464503042597
2a,I,0.99987320907823,1.0,0.9997464503042597
2a,II,0.99987320907823,1.0,0.9997464503042597
2a,III,0.99987320907823,1.0,0.9997464503042597
2a,IV,0.99987320907823,1.0,0.9997464503042597
2a,V,0.99987320907823,1.0,0.9997464503042597
2a,VI,0.99987320907823,1.0,0.9997464503042597
2a,VII,0.99987320907823,1.0,0.9997464503042597
2a,VIII,0.99987320907823,1.0,0.9997464503042597
2a,IX,0.99987320907823,1.0,0.9997464503042597
