Group,Step,F1,Precision,Recall
1a,I,0.9951530612244898,0.9969332992588806,0.993379169849758
1a,II,0.9939982122334312,0.9969262295081968,0.9910873440285205
1a,III,0.9888332691567193,0.9968944099378882,0.9809014514896868
1a,IV,0.9943834567270871,0.9969285897107756,0.991851285968933
1a,V,0.9943834567270871,0.9969285897107756,0.991851285968933
1a,VI,0.9943834567270871,0.9969285897107756,0.991851285968933
1a,VII,0.9942550746840291,0.9969278033794163,0.9915966386554622
1a,VIII,0.9942550746840291,0.9969278033794163,0.9915966386554622
1a,IX,0.9941266598569969,0.9969270166453265,0.9913419913419913
1b,I,0.9974548231102062,0.9969473416433478,0.9979628214922333
1b,II,0.9973272241313479,0.9969465648854962,0.9977081741787625
1b,III,0.9973272241313479,0.9969465648854962,0.9977081741787625
1b,IV,0.9970719287078295,0.9969450101832994,0.9971988795518207
1b,V,0.9939982122334312,0.9969262295081968,0.9910873440285205
1b,VI,0.9778123783573375,0.9968253968253968,0.959511077158136
1b,VII,0.9812491917755075,0.9968470835522859,0.966131907308378
1b,VIII,0.9812491917755075,0.9968470835522859,0.966131907308378
1b,IX,0.9813809154383243,0.9968479117415288,0.9663865546218487
1c,I,0.9974548231102062,0.9969473416433478,0.9979628214922333
1c,II,0.9974548231102062,0.9969473416433478,0.9979628214922333
1c,III,0.9974548231102062,0.9969473416433478,0.9979628214922333
1c,IV,0.9974548231102062,0.9969473416433478,0.9979628214922333
1c,V,0.9974548231102062,0.9969473416433478,0.9979628214922333
1c,VI,0.9971995926680245,0.9969457877322474,0.9974535268652915
1c,VII,0.9971995926680245,0.9969457877322474,0.9974535268652915
1c,VIII,0.9844011860255253,0.9968668407310705,0.9722434428316781
1c,IX,0.9971995926680245,0.9969457877322474,0.9974535268652915
1d,I,0.9974548231102062,0.9969473416433478,0.9979628214922333
1d,II,0.9974548231102062,0.9969473416433478,0.9979628214922333
1d,III,0.9963052618167919,0.9969403365629781,0.9956709956709957
1d,IV,0.996177370030581,0.9969395562356542,0.9954163483575248
1d,V,0.996177370030581,0.9969395562356542,0.9954163483575248
1d,VI,0.996177370030581,0.9969395562356542,0.9954163483575248
1d,VII,0.996177370030581,0.9969395562356542,0.9954163483575248
1d,VIII,0.996177370030581,0.9969395562356542,0.9954163483575248
1d,IX,0.996177370030581,0.9969395562356542,0.9954163483575248
2a,I,0.9948966573105384,0.9969317310150857,0.9928698752228164
2a,II,0.9937412185464299,0.9969246540235777,0.9905780494015788
2a,III,0.9876638396299152,0.9968871595330739,0.9786096256684492
2a,IV,0.987012987012987,0.9968831168831169,0.977336389101095
2a,V,0.9896113889957676,0.9968992248062015,0.9824293353705118
2a,VI,0.9610971910853224,0.9967177242888403,0.9279348102877515
2a,VII,0.97900466562986,0.9968329374505146,0.9618029029793735
2a,VIII,0.97900466562986,0.9968329374505146,0.9618029029793735
2a,IX,0.9782101167315175,0.9968279143536876,0.9602750190985485
2b,I,0.9951530612244898,0.9969332992588806,0.993379169849758
2b,II,0.9939982122334312,0.9969262295081968,0.9910873440285205
2b,III,0.9890927755678173,0.9968960165545784,0.9814107461166285
2b,IV,0.9943834567270871,0.9969285897107756,0.991851285968933
2b,V,0.9942550746840291,0.9969278033794163,0.9915966386554622
2b,VI,0.9945118059987237,0.9969293756397134,0.9921059332824038
2b,VII,0.9911640414905878,0.9969088098918083,0.985485103132162
2b,VIII,0.9303462321792261,0.9965095986038395,0.8724216959511077
2b,IX,0.91963795940757,0.9964338781575037,0.8538324420677362
2c,I,0.9947684062779125,0.9969309462915601,0.9926152279093455
2c,II,0.9938697318007663,0.9969254419677172,0.9908326967150497
2c,III,0.9866220735785953,0.9968806862490253,0.9765724471606825
2c,IV,0.9921964948189843,0.9969151670951156,0.9875222816399287
2c,V,0.9920675537359263,0.9969143738750321,0.9872676343264578
2c,VI,0.991809572562068,0.9969127862104451,0.9867583396995162
2c,VII,0.9916805324459235,0.9969119917653114,0.9865036923860453
2c,VIII,0.9910348360655737,0.9969080133986086,0.9852304558186911
2c,IX,0.9736842105263158,0.9967991464390504,0.9516170104405398
2d,I,0.9974548231102062,0.9969473416433478,0.9979628214922333
2d,II,0.9973272241313479,0.9969465648854962,0.9977081741787625
2d,III,0.9973272241313479,0.9969465648854962,0.9977081741787625
2d,IV,0.9947684062779125,0.9969309462915601,0.9926152279093455
2d,V,0.9797979797979798,0.9968379446640316,0.9633307868601986
2d,VI,0.957936507936508,0.9966969446738233,0.922077922077922
2d,VII,0.9812491917755075,0.9968470835522859,0.966131907308378
2d,VIII,0.9812491917755075,0.9968470835522859,0.966131907308378
2d,IX,0.9801941747572815,0.9968404423380727,0.9640947288006112
2e,I,0.9975823896169996,0.9969481180061037,0.9982174688057041
2e,II,0.9974548231102062,0.9969473416433478,0.9979628214922333
2e,III,0.9928407057018666,0.9969191270860077,0.988795518207283
2e,IV,0.974886141834743,0.9968068121341139,0.9539088362617775
2e,V,0.9689831173930114,0.9967689822294022,0.9427043544690603
2e,VI,0.9575228265184597,0.996694214876033,0.9213139801375095
2e,VII,0.9627386438446346,0.9967284623773174,0.9309905780494016
2e,VIII,0.9626020542533579,0.996727570220889,0.9307359307359307
2e,IX,0.9613711272247858,0.9967195188627666,0.9284441049146932
2f,I,0.9974548231102062,0.9969473416433478,0.9979628214922333
2f,II,0.9974548231102062,0.9969473416433478,0.9979628214922333
2f,III,0.9963052618167919,0.9969403365629781,0.9956709956709957
2f,IV,0.9960494456480183,0.996938775510204,0.995161701044054
2f,V,0.9960494456480183,0.996938775510204,0.995161701044054
2f,VI,0.9966887417218543,0.9969426751592356,0.9964349376114082
2f,VII,0.9939982122334312,0.9969262295081968,0.9910873440285205
2f,VIII,0.9774143302180686,0.9968228752978554,0.9587471352177235
2f,IX,0.9712718725515801,0.9967837041007773,0.9470333587980647
3a,I,0.9948966573105384,0.9969317310150857,0.9928698752228164
3a,II,0.9937412185464299,0.9969246540235777,0.9905780494015788
3a,III,0.9879239465570401,0.9968887736582837,0.9791189202953909
3a,IV,0.9864917020455423,0.9968798751950078,0.9763177998472116
3a,V,0.9602745149795433,0.9967123287671232,0.9264069264069265
3a,VI,0.9532288068030826,0.9966657404834677,0.9134199134199135
3a,VII,0.9775470473718365,0.9968237162519852,0.9590017825311943
3a,VIII,0.9256784399290877,0.9964768056371109,0.8642729819200408
3a,IX,0.8736059479553904,0.9960873818063254,0.777947542653425
3b,I,0.9950248756218906,0.9969325153374233,0.9931245225362872
3b,II,0.9945118059987237,0.9969293756397134,0.9921059332824038
3b,III,0.9815126050420168,0.9968487394957983,0.9666412019353195
3b,IV,0.9710031347962382,0.996781979082864,0.946524064171123
3b,V,0.955587962349198,0.9966814159292036,0.9177489177489178
3b,VI,0.9512779552715654,0.9966527196652719,0.9098548510313216
3b,VII,0.96,0.9967105263157895,0.9258976317799847
3b,VIII,0.9483380056067281,0.9966329966329966,0.904507257448434
3b,IX,0.8853989813242784,0.9961795606494747,0.7967914438502673
3c,I,0.9947684062779125,0.9969309462915601,0.9926152279093455
3c,II,0.9933554817275747,0.9969222877660938,0.9898141074611663
3c,III,0.987012987012987,0.9968831168831169,0.977336389101095
3c,IV,0.9921964948189843,0.9969151670951156,0.9875222816399287
3c,V,0.9920675537359263,0.9969143738750321,0.9872676343264578
3c,VI,0.9910348360655737,0.9969080133986086,0.9852304558186911
3c,VII,0.9720772442588727,0.9967888680759968,0.9485612426788897
3c,VIII,0.9047685249548172,0.9963257807715861,0.8286223580341228
3c,IX,0.8577642453240539,0.9959595959595959,0.7532467532467533
3d,I,0.9975823896169996,0.9969481180061037,0.9982174688057041
3d,II,0.9973272241313479,0.9969465648854962,0.9977081741787625
3d,III,0.9921964948189843,0.9969151670951156,0.9875222816399287
3d,IV,0.9723454213409862,0.9967905857181064,0.9490705373058315
3d,V,0.956832627118644,0.9966896551724138,0.9200407435701553
3d,VI,0.9537848605577689,0.9966694421315571,0.9144385026737968
3d,VII,0.9615080411283944,0.9967204154140475,0.928698752228164
3d,VIII,0.9621920695560532,0.9967248908296943,0.9299719887955182
3d,IX,0.9669551534225019,0.9967558799675588,0.9388846447669977
4a,I,0.9950248756218906,0.9969325153374233,0.9931245225362872
4a,II,0.9934840935224224,0.9969230769230769,0.9900687547746372
4a,III,0.9817758821248546,0.9968503937007874,0.9671504965622613
4a,IV,0.9557264050901378,0.9966823334254907,0.9180035650623886
4a,V,0.9522542891341934,0.9966592427616926,0.9116373822256175
4a,VI,0.9511383304486752,0.9966517857142857,0.9096002037178508
4a,VII,0.9507192328183272,0.9966489807316392,0.9088362617774383
4a,VIII,0.8819188191881919,0.9961526130169926,0.7911892029539088
4a,IX,0.7183992191312836,0.9945945945945946,0.5622612681436211
