Group,Step,F1,Precision,Recall
1a,I,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,II,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,III,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,IV,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,V,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,VI,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,VII,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,VIII,0.9275202860679411,0.999407231772377,0.8652809853733642
1a,IX,0.9275202860679411,0.999407231772377,0.8652809853733642
1b,I,0.9985873892384743,0.9994858611825193,0.9976905311778291
1b,II,0.9985873892384743,0.9994858611825193,0.9976905311778291
1b,III,0.9985873892384743,0.9994858611825193,0.9976905311778291
1b,IV,0.9987159732922445,0.9994859933179131,0.997947138824737
1b,V,0.9970418006430868,0.999484270242393,0.9946112394149346
1b,VI,0.9952325731220204,0.9994824016563147,0.9910187323582242
1b,VII,0.9934168065057442,0.9994805194805195,0.987426225301514
1b,VIII,0.9919855222337125,0.9994790309976557,0.9846035411855273
1b,IX,0.9925064599483204,0.9994795732500651,0.9856299717731588
1c,I,0.9985873892384743,0.9994858611825193,0.9976905311778291
1c,II,0.9984587721551502,0.999485728979172,0.9974339235309212
1c,III,0.9985873892384743,0.9994858611825193,0.9976905311778291
1c,IV,0.9989730423620026,0.99948625738505,0.9984603541185527
1c,V,0.9988445243291821,0.9994861253854059,0.9982037464716449
1c,VI,0.998330122029544,0.9994855967078189,0.9971773158840134
1c,VII,0.9980727226005396,0.9994853319608852,0.9966641005901976
1c,VIII,0.9970418006430868,0.999484270242393,0.9946112394149346
1c,IX,0.9969127862104451,0.9994841372194996,0.9943546317680267
1d,I,0.998330122029544,0.9994855967078189,0.9971773158840134
1d,II,0.9984587721551502,0.999485728979172,0.9974339235309212
1d,III,0.998330122029544,0.9994855967078189,0.9971773158840134
1d,IV,0.9984587721551502,0.999485728979172,0.9974339235309212
1d,V,0.9984587721551502,0.999485728979172,0.9974339235309212
1d,VI,0.9984587721551502,0.999485728979172,0.9974339235309212
1d,VII,0.9984587721551502,0.999485728979172,0.9974339235309212
1d,VIII,0.9984587721551502,0.999485728979172,0.9974339235309212
1d,IX,0.9984587721551502,0.999485728979172,0.9974339235309212
2a,I,0.9276677667766776,0.9994074074074074,0.865537593020272
2a,II,0.9276677667766776,0.9994074074074074,0.865537593020272
2a,III,0.9275202860679411,0.999407231772377,0.8652809853733642
2a,IV,0.996654657745754,0.9994838709677419,0.993841416474211
2a,V,0.966467859509609,0.9994517543859649,0.9355914806261226
2a,VI,0.9586004273504274,0.999443052074631,0.9209648447523736
2a,VII,0.9026175063326766,0.9993767528825179,0.8229407236335643
2a,VIII,0.911501954215522,0.9993878175696358,0.8378239671542212
2a,IX,0.918596588545278,0.9993964996982498,0.8498845265588915
2b,I,0.9275202860679411,0.999407231772377,0.8652809853733642
2b,II,0.9275202860679411,0.999407231772377,0.8652809853733642
2b,III,0.9275202860679411,0.999407231772377,0.8652809853733642
2b,IV,0.9276677667766776,0.9994074074074074,0.865537593020272
2b,V,0.9962672158578968,0.9994834710743802,0.9930715935334873
2b,VI,0.9961380020597322,0.999483337638853,0.9928149858865795
2b,VII,0.9954914337240758,0.999482669425763,0.99153194765204
2b,VIII,0.994455190199871,0.9994815966822188,0.989479086476777
2b,IX,0.9226305609284333,0.9994013768332835,0.8568129330254042
2c,I,0.9273727647867951,0.9994070560332049,0.8650243777264562
2c,II,0.9273727647867951,0.9994070560332049,0.8650243777264562
2c,III,0.9272252029164947,0.9994068801897983,0.8647677700795484
2c,IV,0.9272252029164947,0.9994068801897983,0.8647677700795484
2c,V,0.9272252029164947,0.9994068801897983,0.8647677700795484
2c,VI,0.9272252029164947,0.9994068801897983,0.8647677700795484
2c,VII,0.9272252029164947,0.9994068801897983,0.8647677700795484
2c,VIII,0.9272252029164947,0.9994068801897983,0.8647677700795484
2c,IX,0.9270776004402862,0.9994067042420647,0.8645111624326405
2d,I,0.9985873892384743,0.9994858611825193,0.9976905311778291
2d,II,0.9984587721551502,0.999485728979172,0.9974339235309212
2d,III,0.9987159732922445,0.9994859933179131,0.997947138824737
2d,IV,0.9987159732922445,0.9994859933179131,0.997947138824737
2d,V,0.9956208140133952,0.9994828032066201,0.9917885552989479
2d,VI,0.9947144514631945,0.9994818652849741,0.9899923017705927
2d,VII,0.9923762760046517,0.9994794377928162,0.985373364126251
2d,VIII,0.9931568754034861,0.9994802494802495,0.9869130100076983
2d,IX,0.9918552036199095,0.9994788952579469,0.9843469335386195
2e,I,0.9984587721551502,0.999485728979172,0.9974339235309212
2e,II,0.9984587721551502,0.999485728979172,0.9974339235309212
2e,III,0.998330122029544,0.9994855967078189,0.9971773158840134
2e,IV,0.9980727226005396,0.9994853319608852,0.9966641005901976
2e,V,0.992115807160398,0.9994791666666667,0.9848601488324352
2e,VI,0.992115807160398,0.9994791666666667,0.9848601488324352
2e,VII,0.9913335920320786,0.9994783515910276,0.9833205029509879
2e,VIII,0.9913335920320786,0.9994783515910276,0.9833205029509879
2e,IX,0.984767608384325,0.9994714587737844,0.970490120605594
2f,I,0.9984587721551502,0.999485728979172,0.9974339235309212
2f,II,0.998330122029544,0.9994855967078189,0.9971773158840134
2f,III,0.9984587721551502,0.999485728979172,0.9974339235309212
2f,IV,0.9985873892384743,0.9994858611825193,0.9976905311778291
2f,V,0.9976863753213367,0.999484934329127,0.9958942776494739
2f,VI,0.9957501609787508,0.999482936918304,0.9920451629458558
2f,VII,0.9951030927835052,0.9994822676676158,0.9907621247113164
2f,VIII,0.9939362662882208,0.9994810586403736,0.9884526558891455
2f,IX,0.989634620367971,0.9994765768123528,0.9799846035411856
3a,I,0.9275202860679411,0.999407231772377,0.8652809853733642
3a,II,0.9275202860679411,0.999407231772377,0.8652809853733642
3a,III,0.9972997299729973,0.9994845360824742,0.9951244547087503
3a,IV,0.9960087549890563,0.999483204134367,0.9925583782396715
3a,V,0.9190462988633213,0.999397045523063,0.850654349499615
3a,VI,0.9221838286109192,0.9994008388256441,0.8560431100846805
3a,VII,0.9791857572980757,0.9994655264564404,0.9597125994354632
3a,VIII,0.9801203243526027,0.9994665244065084,0.9615088529638183
3a,IX,0.9801203243526027,0.9994665244065084,0.9615088529638183
3b,I,0.9275202860679411,0.999407231772377,0.8652809853733642
3b,II,0.9275202860679411,0.999407231772377,0.8652809853733642
3b,III,0.9241169977924945,0.9994031632348552,0.859379009494483
3b,IV,0.9935467217346412,0.9994806543754868,0.9876828329484219
3b,V,0.8718171296296297,0.9993366500829187,0.7731588401334359
3b,VI,0.8116427918317586,0.999249530956848,0.6833461637156787
3b,VII,0.8888572242804218,0.9993591797500802,0.800359250705671
3b,VIII,0.912109375,0.9993885661877102,0.8388503977418527
3b,IX,0.9116538729937195,0.9993880048959608,0.8380805748011291
3c,I,0.9275202860679411,0.999407231772377,0.8652809853733642
3c,II,0.9275202860679411,0.999407231772377,0.8652809853733642
