Group,Step,F1,Precision,Recall
1a,I,0.9996185632549269,1.0,0.9992374173868835
1a,II,0.9996185632549269,1.0,0.9992374173868835
1a,III,0.9996185632549269,1.0,0.9992374173868835
1a,IV,0.9996185632549269,1.0,0.9992374173868835
1a,V,0.9996185632549269,1.0,0.9992374173868835
1a,VI,0.9996185632549269,1.0,0.9992374173868835
1a,VII,0.9996185632549269,1.0,0.9992374173868835
1a,VIII,0.9994913530010173,1.0,0.9989832231825114
1a,IX,0.9994913530010173,1.0,0.9989832231825114
1b,I,0.9996185632549269,1.0,0.9992374173868835
1b,II,0.9994913530010173,1.0,0.9989832231825114
1b,III,0.9993641103904363,1.0,0.9987290289781393
1b,IV,0.9993641103904363,1.0,0.9987290289781393
1b,V,0.9991095280498664,1.0,0.998220640569395
1b,VI,0.9980899019483,1.0,0.9961870869344179
1b,VII,0.9979623025980642,1.0,0.9959328927300457
1b,VIII,0.9979623025980642,1.0,0.9959328927300457
1b,IX,0.9982174688057041,1.0,0.99644128113879
1c,I,0.9996185632549269,1.0,0.9992374173868835
1c,II,0.9996185632549269,1.0,0.9992374173868835
1c,III,0.9996185632549269,1.0,0.9992374173868835
1c,IV,0.9996185632549269,1.0,0.9992374173868835
1c,V,0.9994913530010173,1.0,0.9989832231825114
1c,VI,0.999236835410837,1.0,0.9984748347737672
1c,VII,0.9989821882951654,1.0,0.9979664463650229
1c,VIII,0.9989821882951654,1.0,0.9979664463650229
1c,IX,0.9989821882951654,1.0,0.9979664463650229
1d,I,0.9996185632549269,1.0,0.9992374173868835
1d,II,0.9996185632549269,1.0,0.9992374173868835
1d,III,0.9994913530010173,1.0,0.9989832231825114
1d,IV,0.9994913530010173,1.0,0.9989832231825114
1d,V,0.9994913530010173,1.0,0.9989832231825114
1d,VI,0.9994913530010173,1.0,0.9989832231825114
1d,VII,0.9994913530010173,1.0,0.9989832231825114
1d,VIII,0.9994913530010173,1.0,0.9989832231825114
1d,IX,0.9994913530010173,1.0,0.9989832231825114
2a,I,0.9996185632549269,1.0,0.9992374173868835
2a,II,0.9989821882951654,1.0,0.9979664463650229
2a,III,0.9989821882951654,1.0,0.9979664463650229
2a,IV,0.9985999745449917,1.0,0.9972038637519065
2a,V,0.9983450031826862,1.0,0.9966954753431622
2a,VI,0.9982174688057041,1.0,0.99644128113879
2a,VII,0.9914113575182669,1.0,0.9829689883070666
2a,VIII,0.996684519255292,1.0,0.9933909506863243
2a,IX,0.9911527118861393,1.0,0.9824605998983224
2b,I,0.9996185632549269,1.0,0.9992374173868835
2b,II,0.9996185632549269,1.0,0.9992374173868835
2b,III,0.9996185632549269,1.0,0.9992374173868835
2b,IV,0.9996185632549269,1.0,0.9992374173868835
2b,V,0.999236835410837,1.0,0.9984748347737672
2b,VI,0.9983450031826862,1.0,0.9966954753431622
2b,VII,0.9982174688057041,1.0,0.99644128113879
2b,VIII,0.9941191511122475,1.0,0.9883070665988816
2b,IX,0.9919282511210762,1.0,0.9839857651245552
2c,I,0.9996185632549269,1.0,0.9992374173868835
2c,II,0.9996185632549269,1.0,0.9992374173868835
2c,III,0.9994913530010173,1.0,0.9989832231825114
2c,IV,0.9994913530010173,1.0,0.9989832231825114
2c,V,0.9994913530010173,1.0,0.9989832231825114
2c,VI,0.9994913530010173,1.0,0.9989832231825114
2c,VII,0.9994913530010173,1.0,0.9989832231825114
