Group,Step,F1,Precision,Recall
1a,I,0.9891249367728883,0.9811841445057702,0.9971953085160632
1a,II,0.9864333713706098,0.9810844892812106,0.9918408975012749
1a,III,0.9857904085257548,0.9810606060606061,0.9905660377358491
1a,IV,0.9857904085257548,0.9810606060606061,0.9905660377358491
1a,V,0.9857904085257548,0.9810606060606061,0.9905660377358491
1a,VI,0.9859190663453,0.9810653875284019,0.9908210096889342
1a,VII,0.9859190663453,0.9810653875284019,0.9908210096889342
1a,VIII,0.9859190663453,0.9810653875284019,0.9908210096889342
1a,IX,0.9886133603238867,0.9811652435961828,0.9961754207037226
1b,I,0.9865618661257607,0.981089258698941,0.99209586945436
1b,II,0.9866903283052352,0.981094025712125,0.9923508414074452
1b,III,0.9863048440273903,0.981079717457114,0.9915859255481897
1b,IV,0.9856617180560843,0.9810558221773175,0.9903110657827638
1b,V,0.9855329949238578,0.9810510358767054,0.9900560938296787
1b,VI,0.9852754506219853,0.981041456016178,0.9895461499235084
1b,VII,0.9860476915271436,0.9810701665825341,0.9910759816420194
1b,VIII,0.9861762840837033,0.9810749432248297,0.9913309535951046
1b,IX,0.9881012658227848,0.9811463046757164,0.9951555328913819
1c,I,0.9865618661257607,0.981089258698941,0.99209586945436
1c,II,0.9865618661257607,0.981089258698941,0.99209586945436
1c,III,0.9866903283052352,0.981094025712125,0.9923508414074452
1c,IV,0.9864333713706098,0.9810844892812106,0.9918408975012749
1c,V,0.9855329949238578,0.9810510358767054,0.9900560938296787
1c,VI,0.985146629427447,0.9810366624525917,0.9892911779704232
1c,VII,0.9711711711711711,0.9805093555093555,0.962009178990311
1c,VIII,0.948572931737472,0.9796251018744906,0.9194288628250893
1c,IX,0.9484346224677717,0.9796195652173914,0.9191738908720041
1d,I,0.9868187579214195,0.9810987903225806,0.9926058133605303
1d,II,0.9864333713706098,0.9810844892812106,0.9918408975012749
1d,III,0.9865618661257607,0.981089258698941,0.99209586945436
1d,IV,0.9864333713706098,0.9810844892812106,0.9918408975012749
1d,V,0.9864333713706098,0.9810844892812106,0.9918408975012749
1d,VI,0.9864333713706098,0.9810844892812106,0.9918408975012749
1d,VII,0.9863048440273903,0.981079717457114,0.9915859255481897
1d,VIII,0.9863048440273903,0.981079717457114,0.9915859255481897
1d,IX,0.9863048440273903,0.981079717457114,0.9915859255481897
2a,I,0.9891249367728883,0.9811841445057702,0.9971953085160632
2a,II,0.9888692132557552,0.9811746987951807,0.9966853646098929
2a,III,0.9641052222366204,0.9802371541501976,0.9484956654767975
2a,IV,0.943849914123398,0.9794351521798739,0.9107598164201938
2a,V,0.9496780974904743,0.9796692870696666,0.9214686384497706
2a,VI,0.9345595095295215,0.979056129572745,0.8939316675165732
2a,VII,0.9505054483392412,0.979702300405954,0.9229984701682815
2a,VIII,0.9513314967860422,0.9797352067008916,0.9245283018867925
2a,IX,0.9690482331699768,0.980427974947808,0.9579296277409485
2b,I,0.9889970911850259,0.9811794228356336,0.9969403365629781
2b,II,0.9888692132557552,0.9811746987951807,0.9966853646098929
2b,III,0.9642394402694999,0.9802423603793466,0.9487506374298827
2b,IV,0.9642394402694999,0.9802423603793466,0.9487506374298827
2b,V,0.9431517715494447,0.9794069192751236,0.909484956654768
2b,VI,0.9430120322623298,0.9794012633891788,0.9092299847016828
2b,VII,0.9487112046291426,0.9796306355241716,0.9196838347781744
2b,VIII,0.9430120322623298,0.9794012633891788,0.9092299847016828
2b,IX,0.951744033569368,0.9797516198704104,0.9252932177460479
2c,I,0.988741302972802,0.9811699723826262,0.9964303926568078
2c,II,0.9888692132557552,0.9811746987951807,0.9966853646098929
2c,III,0.865616574428835,0.976,0.77766445690974
2c,IV,0.8589780188409935,0.97568093385214,0.7672106068332484
2c,V,0.8589780188409935,0.97568093385214,0.7672106068332484
2c,VI,0.8591408591408591,0.9756888168557536,0.7674655787863335
2c,VII,0.8589780188409935,0.97568093385214,0.7672106068332484
2c,VIII,0.8588151320485368,0.9756730457346741,0.7669556348801632
2c,IX,0.8688269421253715,0.9761526232114467,0.7827638959714431
2d,I,0.9865618661257607,0.981089258698941,0.99209586945436
2d,II,0.9865618661257607,0.981089258698941,0.99209586945436
2d,III,0.9860476915271436,0.9810701665825341,0.9910759816420194
2d,IV,0.9855329949238578,0.9810510358767054,0.9900560938296787
2d,V,0.9495400788436268,0.9796637744034707,0.9212136664966853
2d,VI,0.9481578947368421,0.9796084828711256,0.9186639469658338
2d,VII,0.948572931737472,0.9796251018744906,0.9194288628250893
2d,VIII,0.9494020239190433,0.9796582587469488,0.9209586945436002
2d,IX,0.9514690451206715,0.979740680713128,0.9247832738398776
2e,I,0.9866903283052352,0.981094025712125,0.9923508414074452
2e,II,0.9864333713706098,0.9810844892812106,0.9918408975012749
2e,III,0.9841148811793112,0.9809982265011401,0.9872514023457419
2e,IV,0.9794459338695264,0.9808233188442853,0.9780724120346762
2e,V,0.959521020434726,0.9800584950810954,0.9398266190719021
2e,VI,0.9666494312306101,0.9803356056633455,0.9533401325854156
2e,VII,0.9746023601847101,0.9806401652039236,0.9686384497705253
2e,VIII,0.9773570423436101,0.9807445442875481,0.9739928607853137
2e,IX,0.9856617180560843,0.9810558221773175,0.9903110657827638
2f,I,0.9865618661257607,0.981089258698941,0.99209586945436
2f,II,0.9861762840837033,0.9810749432248297,0.9913309535951046
2f,III,0.9860476915271436,0.9810701665825341,0.9910759816420194
2f,IV,0.9848888888888889,0.9810270680495826,0.9887812340642529
2f,V,0.9789245114318559,0.9808036856923471,0.9770525242223356
2f,VI,0.9782719836400818,0.9807790876473603,0.9757776644569097
2f,VII,0.9731535003211303,0.9805850375355941,0.9658337582865885
2f,VIII,0.9409114997350292,0.9793160507446221,0.9054054054054054
2f,IX,0.9463556082773165,0.9795361527967258,0.9153493115757266
3a,I,0.9891249367728883,0.9811841445057702,0.9971953085160632
3a,II,0.9888692132557552,0.9811746987951807,0.9966853646098929
3a,III,0.9634336099585062,0.9802110817941952,0.9472208057113718
3a,IV,0.9423127811590368,0.9793729372937293,0.907955124936257
3a,V,0.9134157944814463,0.9781659388646288,0.8567057623661397
3a,VI,0.9339911988265102,0.9790327089740005,0.8929117797042325
3a,VII,0.9427324427985716,0.9793899422918384,0.9087200407955125
3a,VIII,0.9431517715494447,0.9794069192751236,0.909484956654768
3a,IX,0.9521562459037882,0.9797680064742379,0.9260581336053034
3b,I,0.9886133603238867,0.9811652435961828,0.9961754207037226
3b,II,0.9877168545017095,0.9811320754716981,0.9943906170321265
3b,III,0.9503676470588235,0.9796968056307526,0.9227434982151963
3b,IV,0.9160677966101695,0.9782797567332754,0.8612952575216726
3b,V,0.9076250341623394,0.9779151943462897,0.8467618561958185
3b,VI,0.9013194062671798,0.9776386404293381,0.8360530341662417
3b,VII,0.926835816888173,0.9787354692373121,0.8801631820499745
3b,VIII,0.9062799288548365,0.9778565101860053,0.844467108618052
3b,IX,0.9630302244130238,0.9801954053340375,0.9464558898521163
3c,I,0.9884853852967228,0.9811605124340618,0.9959204487506375
3c,II,0.9817857597758247,0.9809111733265462,0.9826619071902091
3c,III,0.9678502259522272,0.9803818990321737,0.9556348801631821
3c,IV,0.9203133441383036,0.9784606547960942,0.8686894441611422
3c,V,0.9113441372735939,0.9780765857936276,0.8531361550229475
3c,VI,0.896161281413974,0.9774096385542169,0.8273839877613463
3c,VII,0.896161281413974,0.9774096385542169,0.8273839877613463
3c,VIII,0.8973793103448275,0.9774639423076923,0.8294237633860275
3c,IX,0.914890728926293,0.9782293178519593,0.8592554818969913
3d,I,0.9865618661257607,0.981089258698941,0.99209586945436
3d,II,0.9863048440273903,0.981079717457114,0.9915859255481897
3d,III,0.9830810329474622,0.9809596344249809,0.9852116267210607
3d,IV,0.959250097643536,0.9800478850758181,0.9393166751657318
3d,V,0.9395065003979836,0.9792588495575221,0.9028556858745538
3d,VI,0.9271238759898001,0.9787475205440634,0.8806731259561448
3d,VII,0.9358359957401491,0.979108635097493,0.8962264150943396
3d,VIII,0.9301391862955032,0.9788732394366197,0.8860275369709332
3d,IX,0.9469108154393361,0.9795584627964022,0.9163691993880673
4a,I,0.9884853852967228,0.9811605124340618,0.9959204487506375
4a,II,0.9817857597758247,0.9809111733265462,0.9826619071902091
4a,III,0.9292793999464238,0.9788374717832957,0.8844977052524222
4a,IV,0.897075055187638,0.9774503908598917,0.8289138194798572
4a,V,0.8923375363724539,0.9772382397572079,0.8210096889342172
4a,VI,0.8807056846821618,0.9767080745341615,0.8018867924528302
